                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     202306 |     264803 |     258082 |     256865 |     215435 |     262923 |     248309 |     255159 |     270947 |     275618 |     246847 |     227045 |     210781 |     277598 |     244827 |     252779
  Cycles                             |     809920 |     809920 |     809920 |     809920 |     809920 |     809920 |     809920 |     809920 |     809920 |     809920 |     809920 |     809920 |     809920 |     809920 |     809920 |     809920
  IPC                                |       0.25 |       0.33 |       0.32 |       0.32 |       0.27 |       0.32 |       0.31 |       0.32 |       0.33 |       0.34 |       0.30 |       0.28 |       0.26 |       0.34 |       0.30 |       0.31
  Time (ns)                          |     304481 |     304481 |     304481 |     304481 |     304481 |     304481 |     304481 |     304481 |     304481 |     304481 |     304481 |     304481 |     304481 |     304481 |     304481 |     304481
  Idle time (ns)                     |      76967 |      78450 |      87693 |      79198 |     116903 |      76927 |      92469 |      86588 |      72879 |      71817 |      82308 |     107068 |     112562 |      75035 |     104021 |      83380
  Idle time (%)                      |      25.3% |      25.8% |      28.8% |      26.0% |      38.4% |      25.3% |      30.4% |      28.4% |      23.9% |      23.6% |      27.0% |      35.2% |      37.0% |      24.6% |      34.2% |      27.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      37292 |      52891 |      51219 |      50842 |      40583 |      52361 |      48802 |      50476 |      54432 |      55579 |      48382 |      43440 |      39363 |      56088 |      47979 |      49922
  num incorrect                      |        284 |        324 |        301 |        359 |        277 |        368 |        283 |        317 |        307 |        332 |        331 |        308 |        311 |        316 |        242 |        266
  misprediction rate                 |      0.76% |      0.61% |      0.58% |      0.70% |      0.68% |      0.70% |      0.58% |      0.62% |      0.56% |      0.59% |      0.68% |      0.70% |      0.78% |      0.56% |      0.50% |      0.53%
  mpki                               |       1.40 |       1.22 |       1.17 |       1.40 |       1.29 |       1.40 |       1.14 |       1.24 |       1.13 |       1.20 |       1.34 |       1.36 |       1.48 |       1.14 |       0.99 |       1.05
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14018 |      14012 |      14013 |      14017 |      14022 |      14022 |      14012 |      14022 |      14012 |      14011 |      14022 |      14017 |      14017 |      14012 |      14012 |      14022
    num cache misses                 |         16 |         16 |         16 |         17 |         17 |         17 |         16 |         17 |         16 |         15 |         17 |         17 |         17 |         16 |         16 |         17
    miss rate                        |      0.11% |      0.11% |      0.11% |      0.12% |      0.12% |      0.12% |      0.11% |      0.12% |      0.11% |      0.11% |      0.12% |      0.12% |      0.12% |      0.11% |      0.11% |      0.12%
    mpki                             |       0.08 |       0.06 |       0.06 |       0.07 |       0.08 |       0.06 |       0.06 |       0.07 |       0.06 |       0.05 |       0.07 |       0.07 |       0.08 |       0.06 |       0.07 |       0.07
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     110180 |     141441 |     138061 |     137439 |     116747 |     140488 |     133189 |     136611 |     144495 |     146842 |     132453 |     122531 |     114391 |     147823 |     131454 |     135402
    num cache misses                 |       3889 |       2999 |       2877 |       3073 |       2328 |       3121 |       2735 |       2886 |       2992 |       3016 |       2992 |       2603 |       2459 |       3093 |       2674 |       2882
    miss rate                        |      3.53% |      2.12% |      2.08% |      2.24% |      1.99% |      2.22% |      2.05% |      2.11% |      2.07% |      2.05% |      2.26% |      2.12% |      2.15% |      2.09% |      2.03% |      2.13%
