                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     235189 |     233914 |     233264 |     234443 |     235053 |     234552 |     233974 |     234530 |     235233 |     234819 |     233511 |     234521 |     235243 |     234466 |     234739 |     233802
  Cycles                             |   10745830 |   10745830 |   10745830 |   10745830 |   10745830 |   10745830 |   10745830 |   10745830 |   10745830 |   10745830 |   10745830 |   10745830 |   10745830 |   10745830 |   10745830 |   10745830
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    4039786 |    4039786 |    4039786 |    4039786 |    4039786 |    4039786 |    4039786 |    4039786 |    4039786 |    4039786 |    4039786 |    4039786 |    4039786 |    4039786 |    4039786 |    4039786
  Idle time (ns)                     |    3829397 |    3835871 |    3836412 |    3834791 |    3834287 |    3831465 |    3832168 |    3827347 |    3834940 |    3832959 |    3837717 |    3835739 |    3832750 |    3837072 |    3833167 |    3836446
  Idle time (%)                      |      94.8% |      95.0% |      95.0% |      94.9% |      94.9% |      94.8% |      94.9% |      94.7% |      94.9% |      94.9% |      95.0% |      94.9% |      94.9% |      95.0% |      94.9% |      95.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      20260 |      20221 |      20189 |      20298 |      20314 |      20220 |      20221 |      20191 |      20297 |      20294 |      20162 |      20236 |      20259 |      20258 |      20282 |      20243
  num incorrect                      |       1371 |       1294 |       1270 |       1276 |       1318 |       1356 |       1277 |       1360 |       1327 |       1338 |       1312 |       1350 |       1338 |       1350 |       1339 |       1286
  misprediction rate                 |      6.34% |      6.01% |      5.92% |      5.91% |      6.09% |      6.28% |      5.94% |      6.31% |      6.14% |      6.19% |      6.11% |      6.25% |      6.20% |      6.25% |      6.19% |      5.97%
  mpki                               |       5.83 |       5.53 |       5.44 |       5.44 |       5.61 |       5.78 |       5.46 |       5.80 |       5.64 |       5.70 |       5.62 |       5.76 |       5.69 |       5.76 |       5.70 |       5.50
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      19940 |      19825 |      19747 |      19865 |      19885 |      19878 |      19850 |      19887 |      19950 |      19853 |      19775 |      19858 |      20003 |      19822 |      19861 |      19789
    num cache misses                 |         24 |         25 |         25 |         25 |         25 |         25 |         25 |         24 |         25 |         24 |         24 |         24 |         25 |         25 |         24 |         26
    miss rate                        |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.12% |      0.13% |      0.12% |      0.12% |      0.12% |      0.12% |      0.13% |      0.12% |      0.13%
    mpki                             |       0.10 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.11 |       0.10 |       0.10 |       0.10 |       0.11 |       0.11 |       0.10 |       0.11
