                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   11273439 |   14192280 |   11908890 |   13882574 |   17232546 |   16314318 |   17059033 |   16493714
  Cycles                             |   28134715 |   28134715 |   28134715 |   28134715 |   28134715 |   28134715 |   28134715 |   28134715
  IPC                                |       0.40 |       0.50 |       0.42 |       0.49 |       0.61 |       0.58 |       0.61 |       0.59
  Time (ns)                          |   10576961 |   10576961 |   10576961 |   10576961 |   10576961 |   10576961 |   10576961 |   10576961
  Idle time (ns)                     |    2360715 |    1678151 |    2972516 |    1884299 |     105409 |     528617 |      83120 |     309369
  Idle time (%)                      |      22.3% |      15.9% |      28.1% |      17.8% |       1.0% |       5.0% |       0.8% |       2.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1756083 |    2242548 |    1862002 |    2190952 |    2749235 |    2596199 |    2720318 |    2626100
  num incorrect                      |        164 |        179 |        160 |        153 |        198 |        201 |        196 |        197
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     211017 |     211012 |     211012 |     211015 |     211015 |     211012 |     211017 |     211013
    num cache misses                 |         16 |         15 |         15 |         16 |         16 |         15 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    5893751 |    7353182 |    6211487 |    7198329 |    8873315 |    8414201 |    8786551 |    8503899
    num cache misses                 |     150506 |     114884 |      96955 |     112038 |     133862 |     131353 |     137728 |     134636
    miss rate                        |      2.55% |      1.56% |      1.56% |      1.56% |      1.51% |      1.56% |      1.57% |      1.58%
    mpki                             |      13.35 |       8.09 |       8.14 |       8.07 |       7.77 |       8.05 |       8.07 |       8.16
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     150557 |     114940 |      97006 |     112090 |     133923 |     131414 |     137789 |     134698
    num cache misses                 |     150522 |     114899 |      96970 |     112054 |     133878 |     131368 |     137744 |     134652
    miss rate                        |     99.98% |     99.96% |     99.96% |     99.97% |     99.97% |     99.96% |     99.97% |     99.97%
    mpki                             |      13.35 |       8.10 |       8.14 |       8.07 |       7.77 |       8.05 |       8.07 |       8.16
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     150557 |     114940 |      97006 |     112090 |     133923 |     131414 |     137789 |     134698
    num cache misses                 |     150522 |     114899 |      96970 |     112054 |     133878 |     131368 |     137744 |     134652
    miss rate                        |     99.98% |     99.96% |     99.96% |     99.97% |     99.97% |     99.96% |     99.97% |     99.97%
    mpki                             |      13.35 |       8.10 |       8.14 |       8.07 |       7.77 |       8.05 |       8.07 |       8.16
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |        178 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     238.97 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     185.54 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          9 |          8 |          9 |          8 |          8 |          9 |          9
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         37 |         37 |         34 |         36 |         44 |         45 |         42 |         45
