                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     101067 |     100267 |     101145 |      99585 |     100952 |     100390 |      99886 |     100622
  Cycles                             |    1822641 |    1822641 |    1822641 |    1822641 |    1822641 |    1822641 |    1822641 |    1822641
  IPC                                |       0.06 |       0.06 |       0.06 |       0.05 |       0.06 |       0.06 |       0.05 |       0.06
  Time (ns)                          |     685204 |     685204 |     685204 |     685204 |     685204 |     685204 |     685204 |     685204
  Idle time (ns)                     |     605447 |     608240 |     607705 |     611493 |     606545 |     608502 |     613131 |     610283
  Idle time (%)                      |      88.4% |      88.8% |      88.7% |      89.2% |      88.5% |      88.8% |      89.5% |      89.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      10879 |      10873 |      10890 |      10822 |      10811 |      10834 |      10833 |      10857
  num incorrect                      |        622 |        577 |        631 |        577 |        671 |        611 |        587 |        621
  misprediction rate                 |      5.41% |      5.04% |      5.48% |      5.06% |      5.84% |      5.34% |      5.14% |      5.41%
  mpki                               |       6.15 |       5.75 |       6.24 |       5.79 |       6.65 |       6.09 |       5.88 |       6.17
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      17999 |      17900 |      17994 |      17820 |      17985 |      17926 |      17862 |      17929
    num cache misses                 |         24 |         25 |         24 |         25 |         24 |         25 |         25 |         26
    miss rate                        |      0.13% |      0.14% |      0.13% |      0.14% |      0.13% |      0.14% |      0.14% |      0.15%
    mpki                             |       0.24 |       0.25 |       0.24 |       0.25 |       0.24 |       0.25 |       0.25 |       0.26
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      53465 |      53123 |      53485 |      52845 |      53411 |      53191 |      52969 |      53258
    num cache misses                 |       2317 |       2218 |       2313 |       1987 |       2214 |       2112 |       2044 |       2088
    miss rate                        |      4.33% |      4.18% |      4.32% |      3.76% |      4.15% |      3.97% |      3.86% |      3.92%
    mpki                             |      22.93 |      22.12 |      22.87 |      19.95 |      21.93 |      21.04 |      20.46 |      20.75
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3073 |       3008 |       3069 |       2706 |       3007 |       2938 |       2792 |       2868
    num cache misses                 |       2344 |       2246 |       2343 |       2027 |       2240 |       2144 |       2076 |       2126
    miss rate                        |     76.28% |     74.67% |     76.34% |     74.91% |     74.49% |     72.97% |     74.36% |     74.13%
    mpki                             |      23.19 |      22.40 |      23.16 |      20.35 |      22.19 |      21.36 |      20.78 |      21.13
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3073 |       3008 |       3069 |       2706 |       3007 |       2938 |       2792 |       2868
    num cache misses                 |       1410 |       1368 |       1461 |       1186 |       1241 |       1240 |       1284 |       1364
    miss rate                        |     45.88% |     45.48% |     47.61% |     43.83% |     41.27% |     42.21% |     45.99% |     47.56%
    mpki                             |      13.95 |      13.64 |      14.44 |      11.91 |      12.29 |      12.35 |      12.85 |      13.56
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         83 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     140.40 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      86.97 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          5 |          4 |          5 |          5 |          7 |          4 |          8
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        862 |        837 |        887 |        721 |        806 |        783 |        834 |        870
