                                     | Core 0     | Core 1    
  Instructions                       |    1398303 |    1400344
  Cycles                             |   11932246 |   11932246
  IPC                                |       0.12 |       0.12
  Time (ns)                          |    4485807 |    4485807
  Idle time (ns)                     |    3135128 |    3131342
  Idle time (%)                      |      69.9% |      69.8%
Branch predictor stats               |            |           
  num correct                        |     110788 |     110503
  num incorrect                      |        320 |        317
  misprediction rate                 |      0.29% |      0.29%
  mpki                               |       0.23 |       0.23
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      18718 |      19306
    num cache misses                 |         22 |         25
    miss rate                        |      0.12% |      0.13%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |     948587 |     950043
    num cache misses                 |       1775 |       1891
    miss rate                        |      0.19% |      0.20%
    mpki                             |       1.27 |       1.35
  Cache L2                           |            |           
    num cache accesses               |       2033 |       2031
    num cache misses                 |         33 |         13
    miss rate                        |      1.62% |      0.64%
    mpki                             |       0.02 |       0.01
  Cache L3                           |            |           
    num cache accesses               |         35 |         14
    num cache misses                 |         33 |         13
    miss rate                        |     94.29% |     92.86%
    mpki                             |       0.02 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |     106.00 |        inf
  average dram queueing delay        |      52.58 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          8 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
