                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   20743499 |   13635967 |   19885368 |   20668292
  Cycles                             |   13711960 |   13711960 |   13711960 |   13711960
  IPC                                |       1.51 |       0.99 |       1.45 |       1.51
  Time (ns)                          |    5154873 |    5154873 |    5154873 |    5154873
  Idle time (ns)                     |      33495 |    1397825 |     174197 |      25869
  Idle time (%)                      |       0.6% |      27.1% |       3.4% |       0.5%
Branch predictor stats               |            |            |            |           
  num correct                        |    4950176 |    3173299 |    4735672 |    4931338
  num incorrect                      |        195 |        183 |        180 |        231
  misprediction rate                 |      0.00% |      0.01% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     210020 |     210030 |     210013 |     210019
    num cache misses                 |         15 |         16 |         15 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   10628772 |    7075001 |   10199722 |   10591170
    num cache misses                 |       3660 |       2528 |       3545 |       3675
    miss rate                        |      0.03% |      0.04% |      0.03% |      0.03%
    mpki                             |       0.18 |       0.19 |       0.18 |       0.18
  Cache L2                           |            |            |            |           
    num cache accesses               |       4656 |       3533 |       4541 |       4662
    num cache misses                 |       3675 |       2544 |       3560 |       3690
    miss rate                        |     78.93% |     72.01% |     78.40% |     79.15%
    mpki                             |       0.18 |       0.19 |       0.18 |       0.18
  Cache L3                           |            |            |            |           
    num cache accesses               |       4656 |       3533 |       4541 |       4662
    num cache misses                 |       3675 |       2544 |       3560 |       3690
    miss rate                        |     78.93% |     72.01% |     78.40% |     79.15%
    mpki                             |       0.18 |       0.19 |       0.18 |       0.18
DRAM summary                         |            |            |            |           
  num dram accesses                  |       7808 |          0 |          0 |          0
  average dram access latency (ns)   |      55.94 |        inf |        inf |        inf
  average dram queueing delay        |       2.51 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1976 |       1552 |       2041 |       1910
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       1473 |        713 |       1264 |       1463
