                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     344024 |     427595 |     347387 |     350140 |     416451 |     437795 |     458211 |     414363 |     418191 |     391631 |     426294 |     376826 |     387391 |     444138 |     439695 |     325719
  Cycles                             |     668408 |     668408 |     668408 |     668408 |     668408 |     668408 |     668408 |     668408 |     668408 |     668408 |     668408 |     668408 |     668408 |     668408 |     668408 |     668408
  IPC                                |       0.51 |       0.64 |       0.52 |       0.52 |       0.62 |       0.65 |       0.69 |       0.62 |       0.63 |       0.59 |       0.64 |       0.56 |       0.58 |       0.66 |       0.66 |       0.49
  Time (ns)                          |     251281 |     251281 |     251281 |     251281 |     251281 |     251281 |     251281 |     251281 |     251281 |     251281 |     251281 |     251281 |     251281 |     251281 |     251281 |     251281
  Idle time (ns)                     |     122020 |      76880 |     121971 |     122659 |      81156 |      76381 |      72650 |      84504 |      75541 |      93009 |      89122 |      94210 |      93475 |      73028 |      71747 |     122278
  Idle time (%)                      |      48.6% |      30.6% |      48.5% |      48.8% |      32.3% |      30.4% |      28.9% |      33.6% |      30.1% |      37.0% |      35.5% |      37.5% |      37.2% |      29.1% |      28.6% |      48.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      72665 |      93513 |      73574 |      74225 |      90694 |      96121 |     101203 |      90352 |      91178 |      84547 |      93235 |      80894 |      83526 |      97756 |      96548 |      68174
  num incorrect                      |        333 |        385 |        264 |        302 |        416 |        331 |        343 |        229 |        361 |        358 |        333 |        314 |        319 |        281 |        380 |        242
  misprediction rate                 |      0.46% |      0.41% |      0.36% |      0.41% |      0.46% |      0.34% |      0.34% |      0.25% |      0.39% |      0.42% |      0.36% |      0.39% |      0.38% |      0.29% |      0.39% |      0.35%
  mpki                               |       0.97 |       0.90 |       0.76 |       0.86 |       1.00 |       0.76 |       0.75 |       0.55 |       0.86 |       0.91 |       0.78 |       0.83 |       0.82 |       0.63 |       0.86 |       0.74
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14018 |      14022 |      14017 |      14022 |      14022 |      14022 |      14022 |      14017 |      14022 |      14022 |      14022 |      14022 |      14022 |      14022 |      14020 |      14017
    num cache misses                 |         16 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17
    miss rate                        |      0.11% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.05 |       0.04 |       0.05 |       0.05 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     181031 |     222825 |     182705 |     184081 |     217251 |     227929 |     238118 |     216192 |     218106 |     204841 |     222170 |     197443 |     202721 |     231100 |     228881 |     171866
    num cache misses                 |       3325 |       4178 |       3301 |       3354 |       3655 |       3715 |       3746 |       3273 |       3606 |       3248 |       3355 |       3278 |       3185 |       3550 |       3642 |       2620
    miss rate                        |      1.84% |      1.88% |      1.81% |      1.82% |      1.68% |      1.63% |      1.57% |      1.51% |      1.65% |      1.59% |      1.51% |      1.66% |      1.57% |      1.54% |      1.59% |      1.52%
