                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     380285 |     347322 |     324647 |     360607 |     245343 |     316910 |     318718 |     371379 |     365389 |     332438 |     337192 |     321321 |     319855 |     363458 |     382874 |     358637
  Cycles                             |     692070 |     692070 |     692070 |     692070 |     692070 |     692070 |     692070 |     692070 |     692070 |     692070 |     692070 |     692070 |     692070 |     692070 |     692070 |     692070
  IPC                                |       0.55 |       0.50 |       0.47 |       0.52 |       0.35 |       0.46 |       0.46 |       0.54 |       0.53 |       0.48 |       0.49 |       0.46 |       0.46 |       0.53 |       0.55 |       0.52
  Time (ns)                          |     260177 |     260177 |     260177 |     260177 |     260177 |     260177 |     260177 |     260177 |     260177 |     260177 |     260177 |     260177 |     260177 |     260177 |     260177 |     260177
  Idle time (ns)                     |      84066 |     105306 |     109428 |      87292 |     126217 |      92700 |      95120 |      74674 |      71836 |      85345 |      80184 |      99028 |      90742 |      72190 |      71872 |      77402
  Idle time (%)                      |      32.3% |      40.5% |      42.1% |      33.6% |      48.5% |      35.6% |      36.6% |      28.7% |      27.6% |      32.8% |      30.8% |      38.1% |      34.9% |      27.7% |      27.6% |      29.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      81848 |      73630 |      67960 |      76878 |      48177 |      65955 |      66438 |      79593 |      78045 |      69855 |      71025 |      67030 |      66731 |      77621 |      82406 |      76379
  num incorrect                      |        223 |        210 |        207 |        277 |        165 |        281 |        251 |        263 |        311 |        259 |        266 |        312 |        242 |        259 |        320 |        295
  misprediction rate                 |      0.27% |      0.28% |      0.30% |      0.36% |      0.34% |      0.42% |      0.38% |      0.33% |      0.40% |      0.37% |      0.37% |      0.46% |      0.36% |      0.33% |      0.39% |      0.38%
  mpki                               |       0.59 |       0.60 |       0.64 |       0.77 |       0.67 |       0.89 |       0.79 |       0.71 |       0.85 |       0.78 |       0.79 |       0.97 |       0.76 |       0.71 |       0.84 |       0.82
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14018 |      14015 |      14012 |      14012 |      14015 |      14015 |      14015 |      14015 |      14010 |      14012 |      14022 |      14012 |      14013 |      14013 |      14012 |      14012
    num cache misses                 |         16 |         17 |         16 |         16 |         17 |         17 |         17 |         17 |         15 |         16 |         17 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.11% |      0.12% |      0.11% |      0.11% |      0.12% |      0.12% |      0.12% |      0.12% |      0.11% |      0.11% |      0.12% |      0.11% |      0.11% |      0.11% |      0.11% |      0.11%
    mpki                             |       0.04 |       0.05 |       0.05 |       0.04 |       0.07 |       0.05 |       0.05 |       0.05 |       0.04 |       0.05 |       0.05 |       0.05 |       0.05 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     199169 |     182699 |     171348 |     189326 |     131705 |     167491 |     168396 |     194729 |     191732 |     175243 |     177608 |     169700 |     168962 |     190770 |     200460 |     188361
    num cache misses                 |       3731 |       3470 |       3319 |       3783 |       2653 |       3311 |       3188 |       3565 |       3649 |       3441 |       3620 |       3300 |       3277 |       3659 |       3608 |       3429
    miss rate                        |      1.87% |      1.90% |      1.94% |      2.00% |      2.01% |      1.98% |      1.89% |      1.83% |      1.90% |      1.96% |      2.04% |      1.94% |      1.94% |      1.92% |      1.80% |      1.82%
    mpki                             |       9.81 |       9.99 |      10.22 |      10.49 |      10.81 |      10.45 |      10.00 |       9.60 |       9.99 |      10.35 |      10.74 |      10.27 |      10.25 |      10.07 |       9.42 |       9.56
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4351 |       4092 |       3958 |       4452 |       3324 |       3990 |       3880 |       4217 |       4338 |       4104 |       4316 |       3987 |       3958 |       4277 |       4236 |       4055
    num cache misses                 |       3750 |       3492 |       3343 |       3813 |       2671 |       3334 |       3211 |       3588 |       3666 |       3461 |       3643 |       3320 |       3296 |       3683 |       3630 |       3458
    miss rate                        |     86.19% |     85.34% |     84.46% |     85.65% |     80.35% |     83.56% |     82.76% |     85.08% |     84.51% |     84.33% |     84.41% |     83.27% |     83.27% |     86.11% |     85.69% |     85.28%
    mpki                             |       9.86 |      10.05 |      10.30 |      10.57 |      10.89 |      10.52 |      10.07 |       9.66 |      10.03 |      10.41 |      10.80 |      10.33 |      10.30 |      10.13 |       9.48 |       9.64
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4351 |       4092 |       3958 |       4452 |       3324 |       3990 |       3880 |       4217 |       4338 |       4104 |       4316 |       3987 |       3958 |       4277 |       4236 |       4055
    num cache misses                 |       2719 |       2511 |       2393 |       2825 |       1982 |       2386 |       2347 |       2636 |       2678 |       2565 |       2647 |       2377 |       2457 |       2658 |       2587 |       2505
    miss rate                        |     62.49% |     61.36% |     60.46% |     63.45% |     59.63% |     59.80% |     60.49% |     62.51% |     61.73% |     62.50% |     61.33% |     59.62% |     62.08% |     62.15% |     61.07% |     61.78%
    mpki                             |       7.15 |       7.23 |       7.37 |       7.83 |       8.08 |       7.53 |       7.36 |       7.10 |       7.33 |       7.72 |       7.85 |       7.40 |       7.68 |       7.31 |       6.76 |       6.98
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       7324 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      63.33 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       9.91 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     23.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        579 |        498 |        487 |        593 |        517 |        626 |        615 |        699 |        701 |        675 |        683 |        566 |        742 |        747 |        764 |        711
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1265 |       1207 |       1113 |       1301 |        737 |        867 |        856 |        979 |       1094 |       1023 |       1087 |        959 |        961 |       1099 |       1016 |       1003
