                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     368756 |     356282 |     457242 |     436750
  Cycles                             |    1142376 |    1142376 |    1142376 |    1142376
  IPC                                |       0.32 |       0.31 |       0.40 |       0.38
  Time (ns)                          |     429465 |     429465 |     429465 |     429465
  Idle time (ns)                     |      65761 |      62222 |      32629 |      24882
  Idle time (%)                      |      15.3% |      14.5% |       7.6% |       5.8%
Branch predictor stats               |            |            |            |           
  num correct                        |      49986 |      47441 |      67644 |      63528
  num incorrect                      |        171 |        227 |        216 |        229
  misprediction rate                 |      0.34% |      0.48% |      0.32% |      0.36%
  mpki                               |       0.46 |       0.64 |       0.47 |       0.52
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      31018 |      31014 |      31014 |      31016
    num cache misses                 |         16 |         16 |         16 |         15
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.04 |       0.04 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     235481 |     228010 |     288586 |     276286
    num cache misses                 |       9372 |       9237 |       9777 |      10035
    miss rate                        |      3.98% |      4.05% |      3.39% |      3.63%
    mpki                             |      25.42 |      25.93 |      21.38 |      22.98
  Cache L2                           |            |            |            |           
    num cache accesses               |       9470 |       9338 |       9875 |      10145
    num cache misses                 |       9388 |       9253 |       9793 |      10050
    miss rate                        |     99.13% |     99.09% |     99.17% |     99.06%
    mpki                             |      25.46 |      25.97 |      21.42 |      23.01
  Cache L3                           |            |            |            |           
    num cache accesses               |       9470 |       9338 |       9875 |      10145
    num cache misses                 |         24 |          3 |          6 |          5
    miss rate                        |      0.25% |      0.03% |      0.06% |      0.05%
    mpki                             |       0.07 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |      73.14 |        inf |        inf |        inf
  average dram queueing delay        |      19.71 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          3 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
