                                     | Core 0     | Core 1    
  Instructions                       |     123043 |      92065
  Cycles                             |     124086 |     124086
  IPC                                |       0.99 |       0.74
  Time (ns)                          |      46649 |      46649
  Idle time (ns)                     |      12910 |      12480
  Idle time (%)                      |      27.7% |      26.8%
Branch predictor stats               |            |           
  num correct                        |      17732 |       9950
  num incorrect                      |         24 |         57
  misprediction rate                 |      0.14% |      0.57%
  mpki                               |       0.20 |       0.62
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      14018 |      14020
    num cache misses                 |         16 |         17
    miss rate                        |      0.11% |      0.12%
    mpki                             |       0.13 |       0.18
  Cache L1-D                         |            |           
    num cache accesses               |      70536 |      55038
    num cache misses                 |        433 |        652
    miss rate                        |      0.61% |      1.18%
    mpki                             |       3.52 |       7.08
  Cache L2                           |            |           
    num cache accesses               |        757 |        761
    num cache misses                 |        449 |        669
    miss rate                        |     59.31% |     87.91%
    mpki                             |       3.65 |       7.27
  Cache L3                           |            |           
    num cache accesses               |        757 |        761
    num cache misses                 |         19 |         12
    miss rate                        |      2.51% |      1.58%
    mpki                             |       0.15 |       0.13
DRAM summary                         |            |           
  num dram accesses                  |         31 |          0
  average dram access latency (ns)   |      83.33 |        inf
  average dram queueing delay        |      29.90 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          3 |          7
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
