                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     509339 |     498540 |     485518 |     497854 |     506188 |     491568 |     462854 |     555069 |     478649 |     501714 |     332366 |     543902 |     480194 |     522279 |     524191 |     527199
  Cycles                             |     761264 |     761264 |     761264 |     761264 |     761264 |     761264 |     761264 |     761264 |     761264 |     761264 |     761264 |     761264 |     761264 |     761264 |     761264 |     761264
  IPC                                |       0.67 |       0.65 |       0.64 |       0.65 |       0.66 |       0.65 |       0.61 |       0.73 |       0.63 |       0.66 |       0.44 |       0.71 |       0.63 |       0.69 |       0.69 |       0.69
  Time (ns)                          |     286190 |     286190 |     286190 |     286190 |     286190 |     286190 |     286190 |     286190 |     286190 |     286190 |     286190 |     286190 |     286190 |     286190 |     286190 |     286190
  Idle time (ns)                     |      94648 |      88894 |     103119 |      96080 |      89535 |      96595 |     114056 |      81476 |      89783 |      82867 |     151251 |      71853 |      89818 |      77178 |      72728 |      73091
  Idle time (%)                      |      33.1% |      31.1% |      36.0% |      33.6% |      31.3% |      33.8% |      39.9% |      28.5% |      31.4% |      29.0% |      52.8% |      25.1% |      31.4% |      27.0% |      25.4% |      25.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     114064 |     111323 |     108027 |     111146 |     113173 |     109559 |     102506 |     125453 |     106305 |     112072 |      69917 |     122715 |     106678 |     117247 |     117698 |     118437
  num incorrect                      |        270 |        302 |        354 |        319 |        361 |        336 |        208 |        315 |        349 |        356 |        152 |        267 |        367 |        325 |        351 |        351
  misprediction rate                 |      0.24% |      0.27% |      0.33% |      0.29% |      0.32% |      0.31% |      0.20% |      0.25% |      0.33% |      0.32% |      0.22% |      0.22% |      0.34% |      0.28% |      0.30% |      0.30%
  mpki                               |       0.53 |       0.61 |       0.73 |       0.64 |       0.71 |       0.68 |       0.45 |       0.57 |       0.73 |       0.71 |       0.46 |       0.49 |       0.76 |       0.62 |       0.67 |       0.67
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14020 |      14022 |      14022 |      14022 |      14017 |      14019 |      14022 |      14019 |      14022 |      14022 |      14025 |      14015 |      14017 |      14022 |      14022 |      14032
    num cache misses                 |         16 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         18 |         16 |         17 |         17 |         17 |         18
    miss rate                        |      0.11% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.13% |      0.11% |      0.12% |      0.12% |      0.12% |      0.13%
    mpki                             |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.03 |       0.04 |       0.03 |       0.04 |       0.03 |       0.05 |       0.03 |       0.04 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     263692 |     258279 |     251789 |     257957 |     262101 |     254820 |     240456 |     286566 |     248337 |     259885 |     175182 |     280991 |     249127 |     270170 |     271125 |     272611
    num cache misses                 |       4854 |       5022 |       4680 |       4833 |       5048 |       4901 |       4272 |       5247 |       5192 |       5150 |       3498 |       5411 |       5032 |       5276 |       5606 |       5436
    miss rate                        |      1.84% |      1.94% |      1.86% |      1.87% |      1.93% |      1.92% |      1.78% |      1.83% |      2.09% |      1.98% |      2.00% |      1.93% |      2.02% |      1.95% |      2.07% |      1.99%
    mpki                             |       9.53 |      10.07 |       9.64 |       9.71 |       9.97 |       9.97 |       9.23 |       9.45 |      10.85 |      10.26 |      10.52 |       9.95 |      10.48 |      10.10 |      10.69 |      10.31
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       5519 |       5707 |       5372 |       5506 |       5774 |       5570 |       4954 |       5898 |       5941 |       5855 |       4249 |       6024 |       5703 |       5921 |       6190 |       6054
    num cache misses                 |       3362 |       3604 |       3267 |       3338 |       3626 |       3569 |       2987 |       3780 |       3757 |       3689 |       2609 |       3901 |       3642 |       3715 |       3878 |       3796
    miss rate                        |     60.92% |     63.15% |     60.82% |     60.62% |     62.80% |     64.08% |     60.29% |     64.09% |     63.24% |     63.01% |     61.40% |     64.76% |     63.86% |     62.74% |     62.65% |     62.70%
    mpki                             |       6.60 |       7.23 |       6.73 |       6.70 |       7.16 |       7.26 |       6.45 |       6.81 |       7.85 |       7.35 |       7.85 |       7.17 |       7.58 |       7.11 |       7.40 |       7.20
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       3988 |       4227 |       3903 |       3990 |       4320 |       4190 |       3609 |       4376 |       4462 |       4345 |       3291 |       4505 |       4285 |       4250 |       4421 |       4313
    num cache misses                 |       2440 |       2749 |       2441 |       2492 |       2707 |       2636 |       2188 |       2846 |       2799 |       2799 |       2001 |       2830 |       2704 |       2756 |       2904 |       2823
    miss rate                        |     61.18% |     65.03% |     62.54% |     62.46% |     62.66% |     62.91% |     60.63% |     65.04% |     62.73% |     64.42% |     60.80% |     62.82% |     63.10% |     64.85% |     65.69% |     65.45%
    mpki                             |       4.79 |       5.51 |       5.03 |       5.01 |       5.35 |       5.36 |       4.73 |       5.13 |       5.85 |       5.58 |       6.02 |       5.20 |       5.63 |       5.28 |       5.54 |       5.35
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         75 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     201.38 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     147.95 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          3 |          4 |          6 |          3 |          3 |          3 |          3 |          3 |          3 |          5 |          3 |          3 |          3 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        958 |       1091 |        826 |        795 |       1074 |        974 |        743 |       1083 |       1123 |       1084 |        633 |        969 |       1034 |       1004 |       1031 |        992
