                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    5991636 |    6381239 |    5683325 |    6287722 |    5990739 |    6293085 |    5723175 |    6413625 |    6266582 |    6441895 |    4411280 |    6012535 |    5222468 |    5249653 |    6178049 |    4568108
  Cycles                             |    4966256 |    4966256 |    4966256 |    4966256 |    4966256 |    4966256 |    4966256 |    4966256 |    4966256 |    4966256 |    4966256 |    4966256 |    4966256 |    4966256 |    4966256 |    4966256
  IPC                                |       1.21 |       1.28 |       1.14 |       1.27 |       1.21 |       1.27 |       1.15 |       1.29 |       1.26 |       1.30 |       0.89 |       1.21 |       1.05 |       1.06 |       1.24 |       0.92
  Time (ns)                          |    1867014 |    1867014 |    1867014 |    1867014 |    1867014 |    1867014 |    1867014 |    1867014 |    1867014 |    1867014 |    1867014 |    1867014 |    1867014 |    1867014 |    1867014 |    1867014
  Idle time (ns)                     |     195522 |     101830 |     325833 |     150033 |     227179 |     154272 |     321615 |     105144 |     134572 |      95798 |     653287 |     235917 |     450678 |     451306 |     171202 |     634144
  Idle time (%)                      |      10.5% |       5.5% |      17.5% |       8.0% |      12.2% |       8.3% |      17.2% |       5.6% |       7.2% |       5.1% |      35.0% |      12.6% |      24.1% |      24.2% |       9.2% |      34.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1464385 |    1561802 |    1387336 |    1538412 |    1464246 |    1539756 |    1397305 |    1569907 |    1533034 |    1576907 |    1069253 |    1469543 |    1272093 |    1278834 |    1511005 |    1108468
  num incorrect                      |        517 |        507 |        484 |        511 |        444 |        510 |        493 |        497 |        601 |        558 |        552 |        588 |        522 |        578 |        499 |        538
  misprediction rate                 |      0.04% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.04% |      0.03% |      0.04% |      0.04% |      0.05% |      0.04% |      0.04% |      0.05% |      0.03% |      0.05%
  mpki                               |       0.09 |       0.08 |       0.09 |       0.08 |       0.07 |       0.08 |       0.09 |       0.08 |       0.10 |       0.09 |       0.13 |       0.10 |       0.10 |       0.11 |       0.08 |       0.12
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2932764 |    3127578 |    2778590 |    3080806 |    2932349 |    3083498 |    2798570 |    3143777 |    3070222 |    3157886 |    2142550 |    2943229 |    2548179 |    2561795 |    3025966 |    2220962
    num cache misses                 |         15 |         16 |         16 |         16 |         15 |         16 |         15 |         16 |         16 |         16 |         16 |         16 |         15 |         16 |         16 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3027846 |    3222652 |    2873685 |    3175886 |    3027404 |    3178569 |    2893624 |    3238844 |    3165314 |    3252972 |    2237660 |    3038303 |    2643264 |    2656863 |    3121049 |    2316065
    num cache misses                 |      18220 |      19402 |      16588 |      18597 |      17571 |      18370 |      16292 |      18852 |      18718 |      18962 |      12794 |      17241 |      14711 |      14718 |      17678 |      12825
    miss rate                        |      0.60% |      0.60% |      0.58% |      0.59% |      0.58% |      0.58% |      0.56% |      0.58% |      0.59% |      0.58% |      0.57% |      0.57% |      0.56% |      0.55% |      0.57% |      0.55%
    mpki                             |       3.04 |       3.04 |       2.92 |       2.96 |       2.93 |       2.92 |       2.85 |       2.94 |       2.99 |       2.94 |       2.90 |       2.87 |       2.82 |       2.80 |       2.86 |       2.81
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      19443 |      20548 |      17734 |      19727 |      18709 |      19491 |      17409 |      19962 |      19954 |      19987 |      13875 |      18355 |      15828 |      15873 |      18810 |      13969
    num cache misses                 |      11738 |      12440 |      10289 |      11421 |      11062 |      11457 |       9958 |      11920 |      12347 |      12254 |       7824 |      10815 |       9051 |       9017 |      11787 |       7641
    miss rate                        |     60.37% |     60.54% |     58.02% |     57.90% |     59.13% |     58.78% |     57.20% |     59.71% |     61.88% |     61.31% |     56.39% |     58.92% |     57.18% |     56.81% |     62.66% |     54.70%
