                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     245651 |     453451 |     396760 |     418161 |     328737 |     234102 |     474204 |     337472 |     491724 |     500487 |     491973 |     410435 |     365015 |     444063 |     382779 |     488031
  Cycles                             |    1005186 |    1005186 |    1005186 |    1005186 |    1005186 |    1005186 |    1005186 |    1005186 |    1005186 |    1005186 |    1005186 |    1005186 |    1005186 |    1005186 |    1005186 |    1005186
  IPC                                |       0.24 |       0.45 |       0.39 |       0.42 |       0.33 |       0.23 |       0.47 |       0.34 |       0.49 |       0.50 |       0.49 |       0.41 |       0.36 |       0.44 |       0.38 |       0.49
  Time (ns)                          |     377890 |     377890 |     377890 |     377890 |     377890 |     377890 |     377890 |     377890 |     377890 |     377890 |     377890 |     377890 |     377890 |     377890 |     377890 |     377890
  Idle time (ns)                     |     210275 |      97078 |     129996 |     108670 |     169473 |     229311 |      83159 |     162100 |      79596 |      71812 |      75954 |      97244 |     122721 |      88112 |     134217 |      72502
  Idle time (%)                      |      55.6% |      25.7% |      34.4% |      28.8% |      44.8% |      60.7% |      22.0% |      42.9% |      21.1% |      19.0% |      20.1% |      25.7% |      32.5% |      23.3% |      35.5% |      19.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      48518 |     100405 |      86226 |      91558 |      69299 |      45580 |     105576 |      71465 |     109930 |     112218 |     110052 |      89609 |      78299 |      98058 |      82782 |     108984
  num incorrect                      |        144 |        214 |        215 |        231 |        127 |        195 |        223 |        154 |        248 |        161 |        199 |        247 |        205 |        215 |        174 |        265
  misprediction rate                 |      0.30% |      0.21% |      0.25% |      0.25% |      0.18% |      0.43% |      0.21% |      0.22% |      0.23% |      0.14% |      0.18% |      0.27% |      0.26% |      0.22% |      0.21% |      0.24%
  mpki                               |       0.59 |       0.47 |       0.54 |       0.55 |       0.39 |       0.83 |       0.47 |       0.46 |       0.50 |       0.32 |       0.40 |       0.60 |       0.56 |       0.48 |       0.45 |       0.54
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12018 |      12012 |      12016 |      12012 |      12021 |      12021 |      12016 |      12016 |      12012 |      12011 |      12012 |      12016 |      12016 |      12012 |      12012 |      12021
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         14 |         15 |         15 |         15 |         15 |         15 |         15
