                                     | Core 0     | Core 1    
  Instructions                       |     218123 |     218412
  Cycles                             |    1606630 |    1606630
  IPC                                |       0.14 |       0.14
  Time (ns)                          |     603996 |     603996
  Idle time (ns)                     |     462720 |     456626
  Idle time (%)                      |      76.6% |      75.6%
Branch predictor stats               |            |           
  num correct                        |      19658 |      19765
  num incorrect                      |        773 |        724
  misprediction rate                 |      3.78% |      3.53%
  mpki                               |       3.54 |       3.31
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      18018 |      18038
    num cache misses                 |         24 |         24
    miss rate                        |      0.13% |      0.13%
    mpki                             |       0.11 |       0.11
  Cache L1-D                         |            |           
    num cache accesses               |     134658 |     134745
    num cache misses                 |       1199 |        982
    miss rate                        |      0.89% |      0.73%
    mpki                             |       5.50 |       4.50
  Cache L2                           |            |           
    num cache accesses               |       1553 |       1555
    num cache misses                 |       1223 |       1006
    miss rate                        |     78.75% |     64.69%
    mpki                             |       5.61 |       4.61
  Cache L3                           |            |           
    num cache accesses               |       1553 |       1555
    num cache misses                 |         31 |         16
    miss rate                        |      2.00% |      1.03%
    mpki                             |       0.14 |       0.07
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |      97.41 |        inf
  average dram queueing delay        |      43.98 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          9 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
