                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    1496312 |    2005617 |    2007843 |    2084249 |    1769887 |    2053249 |    1529870 |    1620883 |    1765861 |    1970641 |    1787781 |    1748503 |    1571030 |    1518305 |    1642576 |    1964515
  Cycles                             |    4309435 |    4309435 |    4309435 |    4309435 |    4309435 |    4309435 |    4309435 |    4309435 |    4309435 |    4309435 |    4309435 |    4309435 |    4309435 |    4309435 |    4309435 |    4309435
  IPC                                |       0.35 |       0.47 |       0.47 |       0.48 |       0.41 |       0.48 |       0.36 |       0.38 |       0.41 |       0.46 |       0.41 |       0.41 |       0.36 |       0.35 |       0.38 |       0.46
  Time (ns)                          |    1620089 |    1620089 |    1620089 |    1620089 |    1620089 |    1620089 |    1620089 |    1620089 |    1620089 |    1620089 |    1620089 |    1620089 |    1620089 |    1620089 |    1620089 |    1620089
  Idle time (ns)                     |     411850 |     107075 |      96603 |      70744 |     187681 |     104965 |     462185 |     414425 |     157937 |     117234 |     258942 |     280869 |     345089 |     466797 |     349026 |     181137
  Idle time (%)                      |      25.4% |       6.6% |       6.0% |       4.4% |      11.6% |       6.5% |      28.5% |      25.6% |       9.7% |       7.2% |      16.0% |      17.3% |      21.3% |      28.8% |      21.5% |      11.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     231538 |     316399 |     316751 |     329544 |     277127 |     324376 |     237151 |     252301 |     276450 |     310592 |     280097 |     273562 |     244002 |     235215 |     255933 |     309595
  num incorrect                      |        189 |        212 |        231 |        172 |        199 |        177 |        174 |        191 |        205 |        193 |        212 |        200 |        183 |        183 |        176 |        164
  misprediction rate                 |      0.08% |      0.07% |      0.07% |      0.05% |      0.07% |      0.05% |      0.07% |      0.08% |      0.07% |      0.06% |      0.08% |      0.07% |      0.07% |      0.08% |      0.07% |      0.05%
  mpki                               |       0.13 |       0.11 |       0.12 |       0.08 |       0.11 |       0.09 |       0.11 |       0.12 |       0.12 |       0.10 |       0.12 |       0.11 |       0.12 |       0.12 |       0.11 |       0.08
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      31019 |      31020 |      31020 |      31018 |      31013 |      31013 |      31011 |      31013 |      31013 |      31013 |      31012 |      31013 |      31011 |      31012 |      31011 |      31018
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         16 |         15 |         16 |         16 |         16 |         15 |         16 |         15 |         15 |         15 |         15
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
