                                     | Core 0     | Core 1    
  Instructions                       |      96768 |      96875
  Cycles                             |     572224 |     572224
  IPC                                |       0.17 |       0.17
  Time (ns)                          |     215122 |     215122
  Idle time (ns)                     |     191445 |     191484
  Idle time (%)                      |      89.0% |      89.0%
Branch predictor stats               |            |           
  num correct                        |      10832 |      10883
  num incorrect                      |        369 |        362
  misprediction rate                 |      3.29% |      3.22%
  mpki                               |       3.81 |       3.74
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      17501 |      17490
    num cache misses                 |         24 |         26
    miss rate                        |      0.14% |      0.15%
    mpki                             |       0.25 |       0.27
  Cache L1-D                         |            |           
    num cache accesses               |      51733 |      51725
    num cache misses                 |       1559 |       1374
    miss rate                        |      3.01% |      2.66%
    mpki                             |      16.11 |      14.18
  Cache L2                           |            |           
    num cache accesses               |       2101 |       2104
    num cache misses                 |         34 |         14
    miss rate                        |      1.62% |      0.67%
    mpki                             |       0.35 |       0.14
  Cache L3                           |            |           
    num cache accesses               |         36 |         17
    num cache misses                 |         34 |         14
    miss rate                        |     94.44% |     82.35%
    mpki                             |       0.35 |       0.14
DRAM summary                         |            |           
  num dram accesses                  |         46 |          0
  average dram access latency (ns)   |     106.72 |        inf
  average dram queueing delay        |      53.29 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          8 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
