                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     369385 |     324162 |     311854 |     414980 |     359303 |     342106 |     401895 |     294118
  Cycles                             |     535143 |     535143 |     535143 |     535143 |     535143 |     535143 |     535143 |     535143
  IPC                                |       0.69 |       0.61 |       0.58 |       0.78 |       0.67 |       0.64 |       0.75 |       0.55
  Time (ns)                          |     201182 |     201182 |     201182 |     201182 |     201182 |     201182 |     201182 |     201182
  Idle time (ns)                     |      87607 |     100723 |     107050 |      83239 |      95839 |     101441 |      84129 |     116358
  Idle time (%)                      |      43.5% |      50.1% |      53.2% |      41.4% |      47.6% |      50.4% |      41.8% |      57.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      79041 |      67711 |      64686 |      90441 |      76583 |      72239 |      87230 |      60215
  num incorrect                      |        304 |        332 |        283 |        308 |        247 |        287 |        248 |        315
  misprediction rate                 |      0.38% |      0.49% |      0.44% |      0.34% |      0.32% |      0.40% |      0.28% |      0.52%
  mpki                               |       0.82 |       1.02 |       0.91 |       0.74 |       0.69 |       0.84 |       0.62 |       1.07
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      14018 |      14022 |      14015 |      14012 |      14021 |      14022 |      14022 |      14015
    num cache misses                 |         16 |         17 |         17 |         15 |         17 |         17 |         17 |         17
    miss rate                        |      0.11% |      0.12% |      0.12% |      0.11% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.04 |       0.05 |       0.05 |       0.04 |       0.05 |       0.05 |       0.04 |       0.06
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     193719 |     171112 |     164961 |     216522 |     188684 |     180081 |     209980 |     156088
    num cache misses                 |       3566 |       3044 |       2858 |       3502 |       3155 |       2931 |       3365 |       2471
    miss rate                        |      1.84% |      1.78% |      1.73% |      1.62% |      1.67% |      1.63% |      1.60% |      1.58%
    mpki                             |       9.65 |       9.39 |       9.16 |       8.44 |       8.78 |       8.57 |       8.37 |       8.40
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4077 |       3649 |       3473 |       3944 |       3738 |       3505 |       3919 |       3038
    num cache misses                 |       1283 |       1099 |        984 |       1112 |       1114 |       1056 |       1237 |        815
    miss rate                        |     31.47% |     30.12% |     28.33% |     28.19% |     29.80% |     30.13% |     31.56% |     26.83%
    mpki                             |       3.47 |       3.39 |       3.16 |       2.68 |       3.10 |       3.09 |       3.08 |       2.77
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1600 |       1563 |       1436 |       1392 |       1609 |       1480 |       1737 |       1172
    num cache misses                 |         19 |          8 |          7 |          7 |         14 |          8 |         11 |         11
    miss rate                        |      1.19% |      0.51% |      0.49% |      0.50% |      0.87% |      0.54% |      0.63% |      0.94%
    mpki                             |       0.05 |       0.02 |       0.02 |       0.02 |       0.04 |       0.02 |       0.03 |       0.04
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         50 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     166.02 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     112.59 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          4 |          4 |          4 |          7 |          3 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
