                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     106230 |     105375 |     107120 |     105365 |     107197 |     107507 |     106582 |     106625 |     106307 |     106504 |     106608 |     107177 |     107391 |     106462 |     107236 |     105572
  Cycles                             |    4236028 |    4236028 |    4236028 |    4236028 |    4236028 |    4236028 |    4236028 |    4236028 |    4236028 |    4236028 |    4236028 |    4236028 |    4236028 |    4236028 |    4236028 |    4236028
  IPC                                |       0.03 |       0.02 |       0.03 |       0.02 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.02
  Time (ns)                          |    1592492 |    1592492 |    1592492 |    1592492 |    1592492 |    1592492 |    1592492 |    1592492 |    1592492 |    1592492 |    1592492 |    1592492 |    1592492 |    1592492 |    1592492 |    1592492
  Idle time (ns)                     |    1481720 |    1488691 |    1481137 |    1489806 |    1481376 |    1477184 |    1483025 |    1484021 |    1477246 |    1485058 |    1486165 |    1481726 |    1477055 |    1485583 |    1481155 |    1488915
  Idle time (%)                      |      93.0% |      93.5% |      93.0% |      93.6% |      93.0% |      92.8% |      93.1% |      93.2% |      92.8% |      93.3% |      93.3% |      93.0% |      92.8% |      93.3% |      93.0% |      93.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      10924 |      10888 |      10891 |      10884 |      10967 |      10881 |      10895 |      10803 |      10855 |      10920 |      10924 |      10883 |      10892 |      10876 |      10844 |      10861
  num incorrect                      |        910 |        880 |        998 |        908 |        946 |       1009 |        989 |       1019 |        996 |        934 |        977 |       1029 |       1025 |        962 |       1053 |        919
  misprediction rate                 |      7.69% |      7.48% |      8.39% |      7.70% |      7.94% |      8.49% |      8.32% |      8.62% |      8.40% |      7.88% |      8.21% |      8.64% |      8.60% |      8.13% |      8.85% |      7.80%
  mpki                               |       8.57 |       8.35 |       9.32 |       8.62 |       8.82 |       9.39 |       9.28 |       9.56 |       9.37 |       8.77 |       9.16 |       9.60 |       9.54 |       9.04 |       9.82 |       8.70
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      18589 |      18513 |      18700 |      18489 |      18697 |      18787 |      18618 |      18700 |      18597 |      18629 |      18612 |      18695 |      18746 |      18639 |      18732 |      18539
    num cache misses                 |         24 |         24 |         25 |         24 |         23 |         24 |         25 |         25 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24
    miss rate                        |      0.13% |      0.13% |      0.13% |      0.13% |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.23 |       0.23 |       0.23 |       0.23 |       0.21 |       0.22 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.22 |       0.22 |       0.23 |       0.22 |       0.23
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      55559 |      55237 |      55955 |      55195 |      55957 |      56135 |      55694 |      55794 |      55590 |      55685 |      55685 |      55954 |      56055 |      55685 |      56002 |      55324
    num cache misses                 |       4151 |       3744 |       4013 |       3837 |       4003 |       4274 |       4085 |       3899 |       4256 |       3996 |       3982 |       4060 |       4153 |       3865 |       4129 |       3681
    miss rate                        |      7.47% |      6.78% |      7.17% |      6.95% |      7.15% |      7.61% |      7.33% |      6.99% |      7.66% |      7.18% |      7.15% |      7.26% |      7.41% |      6.94% |      7.37% |      6.65%
    mpki                             |      39.08 |      35.53 |      37.46 |      36.42 |      37.34 |      39.76 |      38.33 |      36.57 |      40.03 |      37.52 |      37.35 |      37.88 |      38.67 |      36.30 |      38.50 |      34.87
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       5473 |       4923 |       5252 |       4960 |       5258 |       5550 |       5290 |       5105 |       5623 |       5229 |       5259 |       5250 |       5505 |       5079 |       5429 |       4902
    num cache misses                 |       3465 |       3107 |       3377 |       3151 |       3350 |       3509 |       3327 |       3191 |       3454 |       3180 |       3264 |       3289 |       3464 |       3155 |       3359 |       3076
    miss rate                        |     63.31% |     63.11% |     64.30% |     63.53% |     63.71% |     63.23% |     62.89% |     62.51% |     61.43% |     60.81% |     62.07% |     62.65% |     62.92% |     62.12% |     61.87% |     62.75%
    mpki                             |      32.62 |      29.49 |      31.53 |      29.91 |      31.25 |      32.64 |      31.22 |      29.93 |      32.49 |      29.86 |      30.62 |      30.69 |      32.26 |      29.63 |      31.32 |      29.14
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4646 |       4140 |       4477 |       4117 |       4467 |       4601 |       4363 |       4188 |       4666 |       4244 |       4374 |       4311 |       4648 |       4221 |       4501 |       4143
    num cache misses                 |       2563 |       2348 |       2551 |       2365 |       2647 |       2612 |       2438 |       2287 |       2490 |       2385 |       2317 |       2436 |       2483 |       2321 |       2465 |       2275
    miss rate                        |     55.17% |     56.71% |     56.98% |     57.44% |     59.26% |     56.77% |     55.88% |     54.61% |     53.36% |     56.20% |     52.97% |     56.51% |     53.42% |     54.99% |     54.77% |     54.91%
    mpki                             |      24.13 |      22.28 |      23.81 |      22.45 |      24.69 |      24.30 |      22.87 |      21.45 |      23.42 |      22.39 |      21.73 |      22.73 |      23.12 |      21.80 |      22.99 |      21.55
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        131 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     204.52 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     151.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          5 |          5 |          6 |          4 |          6 |          6 |          6 |          5 |          4 |          5 |          7 |          4 |          5 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1349 |       1295 |       1357 |       1236 |       1387 |       1334 |       1267 |       1222 |       1404 |       1254 |       1222 |       1248 |       1326 |       1225 |       1315 |       1280
