                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    1403380 |    1402730 |    1402530 |    1403219 |    1402674 |    1402610 |    1403585 |    1402815 |    1402660 |    1401910 |    1402498 |    1402828 |    1402848 |    1403898 |    1404342 |    1403661
  Cycles                             |  102256789 |  102256789 |  102256789 |  102256789 |  102256789 |  102256789 |  102256789 |  102256789 |  102256789 |  102256789 |  102256789 |  102256789 |  102256789 |  102256789 |  102256789 |  102256789
  IPC                                |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Time (ns)                          |   38442402 |   38442402 |   38442402 |   38442402 |   38442402 |   38442402 |   38442402 |   38442402 |   38442402 |   38442402 |   38442402 |   38442402 |   38442402 |   38442402 |   38442402 |   38442402
  Idle time (ns)                     |   37018794 |   37023770 |   37022906 |   37021085 |   37019714 |   37022149 |   37017383 |   37022351 |   37035587 |   37034857 |   37032485 |   37031202 |   37032441 |   37031029 |   37027930 |   37029959
  Idle time (%)                      |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     110703 |     110622 |     110606 |     110642 |     110550 |     110644 |     110809 |     110613 |     110684 |     110542 |     110591 |     110581 |     110625 |     110713 |     110771 |     110736
  num incorrect                      |        502 |        488 |        487 |        528 |        547 |        465 |        491 |        517 |        432 |        463 |        494 |        532 |        506 |        551 |        554 |        504
  misprediction rate                 |      0.45% |      0.44% |      0.44% |      0.47% |      0.49% |      0.42% |      0.44% |      0.47% |      0.39% |      0.42% |      0.44% |      0.48% |      0.46% |      0.50% |      0.50% |      0.45%
  mpki                               |       0.36 |       0.35 |       0.35 |       0.38 |       0.39 |       0.33 |       0.35 |       0.37 |       0.31 |       0.33 |       0.35 |       0.38 |       0.36 |       0.39 |       0.39 |       0.36
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      19447 |      19462 |      19427 |      19490 |      19475 |      19412 |      19378 |      19439 |      19406 |      19424 |      19436 |      19473 |      19448 |      19499 |      19508 |      19463
    num cache misses                 |         24 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         24 |         25
    miss rate                        |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.12% |      0.13%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     951006 |     950830 |     950749 |     950987 |     950825 |     950761 |     950967 |     950839 |     950767 |     950569 |     950745 |     950859 |     950853 |     951187 |     951320 |     951091
    num cache misses                 |       2832 |       2678 |       2658 |       2763 |       2697 |       2694 |       2889 |       2715 |       2495 |       2431 |       2520 |       2549 |       2541 |       2664 |       2786 |       2684
    miss rate                        |      0.30% |      0.28% |      0.28% |      0.29% |      0.28% |      0.28% |      0.30% |      0.29% |      0.26% |      0.26% |      0.27% |      0.27% |      0.27% |      0.28% |      0.29% |      0.28%
    mpki                             |       2.02 |       1.91 |       1.90 |       1.97 |       1.92 |       1.92 |       2.06 |       1.94 |       1.78 |       1.73 |       1.80 |       1.82 |       1.81 |       1.90 |       1.98 |       1.91
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       3238 |       3079 |       3007 |       3182 |       3111 |       3026 |       3269 |       3110 |       2980 |       2903 |       2990 |       3063 |       3050 |       3201 |       3321 |       3162
    num cache misses                 |       2410 |       2243 |       2222 |       2278 |       2272 |       2250 |       2466 |       2257 |       2071 |       2040 |       2066 |       2104 |       2086 |       2124 |       2220 |       2152
