                                     | Core 0    
  Instructions                       |      72047
  Cycles                             |      34314
  IPC                                |       2.10
  Time (ns)                          |      12900
  Idle time (ns)                     |         14
  Idle time (%)                      |       0.1%
Branch predictor stats               |           
  num correct                        |       5007
  num incorrect                      |          7
  misprediction rate                 |      0.14%
  mpki                               |       0.10
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      14016
    num cache misses                 |         14
    miss rate                        |      0.10%
    mpki                             |       0.19
  Cache L1-D                         |           
    num cache accesses               |      45053
    num cache misses                 |         11
    miss rate                        |      0.02%
    mpki                             |       0.15
  Cache L2                           |           
    num cache accesses               |         27
    num cache misses                 |         25
    miss rate                        |     92.59%
    mpki                             |       0.35
  Cache L3                           |           
    num cache accesses               |         27
    num cache misses                 |         25
    miss rate                        |     92.59%
    mpki                             |       0.35
DRAM summary                         |           
  num dram accesses                  |         25
  average dram access latency (ns)   |     118.83
  average dram queueing delay        |      65.40
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |          7
  num loads from dram cache          |          0
  num loads from remote cache        |          0
