                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1401686 |    1403556 |    1403582 |    1403321
  Cycles                             |   25167791 |   25167791 |   25167791 |   25167791
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |    9461576 |    9461576 |    9461576 |    9461576
  Idle time (ns)                     |    8102295 |    8099216 |    8100460 |    8099536
  Idle time (%)                      |      85.6% |      85.6% |      85.6% |      85.6%
Branch predictor stats               |            |            |            |           
  num correct                        |     110528 |     110711 |     110702 |     110639
  num incorrect                      |        446 |        544 |        523 |        545
  misprediction rate                 |      0.40% |      0.49% |      0.47% |      0.49%
  mpki                               |       0.32 |       0.39 |       0.37 |       0.39
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      19414 |      19467 |      19479 |      19493
    num cache misses                 |         24 |         24 |         25 |         25
    miss rate                        |      0.12% |      0.12% |      0.13% |      0.13%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     950500 |     951034 |     951090 |     951022
    num cache misses                 |       2019 |       2239 |       2265 |       2231
    miss rate                        |      0.21% |      0.24% |      0.24% |      0.23%
    mpki                             |       1.44 |       1.60 |       1.61 |       1.59
  Cache L2                           |            |            |            |           
    num cache accesses               |       2248 |       2551 |       2535 |       2514
    num cache misses                 |         25 |         19 |          9 |          6
    miss rate                        |      1.11% |      0.74% |      0.36% |      0.24%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         27 |         22 |         12 |          9
    num cache misses                 |         25 |         19 |          9 |          6
    miss rate                        |     92.59% |     86.36% |     75.00% |     66.67%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     103.01 |        inf |        inf |        inf
  average dram queueing delay        |      49.58 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          6 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
