                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     292747 |     300218 |     288062 |     295321 |     267405 |     307679 |     268630 |     216761
  Cycles                             |     556423 |     556423 |     556423 |     556423 |     556423 |     556423 |     556423 |     556423
  IPC                                |       0.53 |       0.54 |       0.52 |       0.53 |       0.48 |       0.55 |       0.48 |       0.39
  Time (ns)                          |     209182 |     209182 |     209182 |     209182 |     209182 |     209182 |     209182 |     209182
  Idle time (ns)                     |      90290 |      84775 |      87005 |      85408 |      98668 |      83251 |      94434 |     117347
  Idle time (%)                      |      43.2% |      40.5% |      41.6% |      40.8% |      47.2% |      39.8% |      45.1% |      56.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      60270 |      62212 |      59139 |      60951 |      53972 |      64053 |      54270 |      41354
  num incorrect                      |        165 |        105 |        131 |        138 |        141 |        125 |        147 |        100
  misprediction rate                 |      0.27% |      0.17% |      0.22% |      0.23% |      0.26% |      0.19% |      0.27% |      0.24%
  mpki                               |       0.56 |       0.35 |       0.45 |       0.47 |       0.53 |       0.41 |       0.55 |       0.46
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      12018 |      12013 |      12016 |      12013 |      12013 |      12010 |      12013 |      12013
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         14 |         15 |         15
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.06 |       0.05 |       0.06 |       0.07
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     155901 |     159649 |     153570 |     157198 |     143242 |     163379 |     143853 |     117921
    num cache misses                 |       1498 |       1239 |       1251 |       1302 |       1183 |       1305 |       1215 |        988
    miss rate                        |      0.96% |      0.78% |      0.81% |      0.83% |      0.83% |      0.80% |      0.84% |      0.84%
    mpki                             |       5.12 |       4.13 |       4.34 |       4.41 |       4.42 |       4.24 |       4.52 |       4.56
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1797 |       1495 |       1520 |       1591 |       1489 |       1557 |       1467 |       1271
    num cache misses                 |       1513 |       1254 |       1266 |       1317 |       1198 |       1319 |       1230 |       1003
    miss rate                        |     84.20% |     83.88% |     83.29% |     82.78% |     80.46% |     84.71% |     83.84% |     78.91%
    mpki                             |       5.17 |       4.18 |       4.39 |       4.46 |       4.48 |       4.29 |       4.58 |       4.63
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1797 |       1495 |       1520 |       1591 |       1489 |       1557 |       1467 |       1271
    num cache misses                 |       1513 |       1254 |       1266 |       1317 |       1198 |       1319 |       1230 |       1003
    miss rate                        |     84.20% |     83.88% |     83.29% |     82.78% |     80.46% |     84.71% |     83.84% |     78.91%
    mpki                             |       5.17 |       4.18 |       4.39 |       4.46 |       4.48 |       4.29 |       4.58 |       4.63
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |       5700 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      67.49 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      14.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     22.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |        637 |        730 |        724 |        700 |        601 |        708 |        673 |        506
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        594 |        319 |        311 |        359 |        328 |        364 |        308 |        245
