                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    2556533 |    2600432 |    2394307 |    2740416 |    2330139 |    2474156 |    2692449 |    2763795
  Cycles                             |    2190652 |    2190652 |    2190652 |    2190652 |    2190652 |    2190652 |    2190652 |    2190652
  IPC                                |       1.17 |       1.19 |       1.09 |       1.25 |       1.06 |       1.13 |       1.23 |       1.26
  Time (ns)                          |     823554 |     823554 |     823554 |     823554 |     823554 |     823554 |     823554 |     823554
  Idle time (ns)                     |     137325 |     131833 |     179098 |      92579 |     199622 |     159165 |     105862 |      82124
  Idle time (%)                      |      16.7% |      16.0% |      21.7% |      11.2% |      24.2% |      19.3% |      12.9% |      10.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     605512 |     616527 |     564965 |     651487 |     548994 |     584920 |     639461 |     657286
  num incorrect                      |        366 |        335 |        361 |        362 |        289 |        357 |        379 |        395
  misprediction rate                 |      0.06% |      0.05% |      0.06% |      0.06% |      0.05% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.14 |       0.13 |       0.15 |       0.13 |       0.12 |       0.14 |       0.14 |       0.14
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      32018 |      32015 |      32015 |      32023 |      32017 |      32029 |      32032 |      32030
    num cache misses                 |         16 |         17 |         17 |         18 |         17 |         18 |         18 |         18
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.06% |      0.05% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1309789 |    1331748 |    1228681 |    1401726 |    1196602 |    1268594 |    1377717 |    1413404
    num cache misses                 |       7185 |       7127 |       6687 |       7569 |       6526 |       6974 |       7455 |       7669
    miss rate                        |      0.55% |      0.54% |      0.54% |      0.54% |      0.55% |      0.55% |      0.54% |      0.54%
    mpki                             |       2.81 |       2.74 |       2.79 |       2.76 |       2.80 |       2.82 |       2.77 |       2.77
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       8240 |       8113 |       7669 |       8533 |       7615 |       8009 |       8479 |       8528
    num cache misses                 |       4158 |       4084 |       3801 |       4356 |       3645 |       4008 |       4361 |       4539
    miss rate                        |     50.46% |     50.34% |     49.56% |     51.05% |     47.87% |     50.04% |     51.43% |     53.22%
    mpki                             |       1.63 |       1.57 |       1.59 |       1.59 |       1.56 |       1.62 |       1.62 |       1.64
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5034 |       4932 |       4657 |       5235 |       4553 |       4928 |       5239 |       5325
    num cache misses                 |       4115 |       4048 |       3774 |       4337 |       3622 |       3979 |       4329 |       4506
    miss rate                        |     81.74% |     82.08% |     81.04% |     82.85% |     79.55% |     80.74% |     82.63% |     84.62%
    mpki                             |       1.61 |       1.56 |       1.58 |       1.58 |       1.55 |       1.61 |       1.61 |       1.63
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         51 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     147.53 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      94.10 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          1 |          4 |          3 |          3 |          3 |          3 |          5 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1291 |       1111 |        929 |       1129 |       1201 |       1106 |       1053 |       1043
