                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1405375 |    1405283 |    1404751 |    1405292
  Cycles                             |   25998891 |   25998891 |   25998891 |   25998891
  IPC                                |       0.05 |       0.05 |       0.05 |       0.05
  Time (ns)                          |    9774019 |    9774019 |    9774019 |    9774019
  Idle time (ns)                     |    8325622 |    8311856 |    8318154 |    8314721
  Idle time (%)                      |      85.2% |      85.0% |      85.1% |      85.1%
Branch predictor stats               |            |            |            |           
  num correct                        |     110436 |     110387 |     110459 |     110375
  num incorrect                      |        883 |        919 |        881 |        924
  misprediction rate                 |      0.79% |      0.83% |      0.79% |      0.83%
  mpki                               |       0.63 |       0.65 |       0.63 |       0.66
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      19960 |      19965 |      19862 |      19988
    num cache misses                 |         24 |         24 |         23 |         24
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     951918 |     951898 |     951581 |     951914
    num cache misses                 |       3713 |       3686 |       3592 |       3650
    miss rate                        |      0.39% |      0.39% |      0.38% |      0.38%
    mpki                             |       2.64 |       2.62 |       2.56 |       2.60
  Cache L2                           |            |            |            |           
    num cache accesses               |       4617 |       4678 |       4562 |       4645
    num cache misses                 |       3738 |       3710 |       3615 |       3674
    miss rate                        |     80.96% |     79.31% |     79.24% |     79.10%
    mpki                             |       2.66 |       2.64 |       2.57 |       2.61
  Cache L3                           |            |            |            |           
    num cache accesses               |       4617 |       4678 |       4562 |       4645
    num cache misses                 |       3738 |       3710 |       3615 |       3674
    miss rate                        |     80.96% |     79.31% |     79.24% |     79.10%
    mpki                             |       2.66 |       2.64 |       2.57 |       2.61
DRAM summary                         |            |            |            |           
  num dram accesses                  |        124 |          0 |          0 |          0
  average dram access latency (ns)   |     183.97 |        inf |        inf |        inf
  average dram queueing delay        |     130.54 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          9 |         12 |         10 |         10
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       1737 |       1744 |       1681 |       1745
