                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    1028621 |     964339 |    1013445 |    1097246 |     778741 |    1026134 |    1016669 |    1038521 |     997791 |     944906 |     974264 |    1058991 |     908874 |    1010579 |    1044006 |    1044085
  Cycles                             |    5241454 |    5241454 |    5241454 |    5241454 |    5241454 |    5241454 |    5241454 |    5241454 |    5241454 |    5241454 |    5241454 |    5241454 |    5241454 |    5241454 |    5241454 |    5241454
  IPC                                |       0.20 |       0.18 |       0.19 |       0.21 |       0.15 |       0.20 |       0.19 |       0.20 |       0.19 |       0.18 |       0.19 |       0.20 |       0.17 |       0.19 |       0.20 |       0.20
  Time (ns)                          |    1970472 |    1970472 |    1970472 |    1970472 |    1970472 |    1970472 |    1970472 |    1970472 |    1970472 |    1970472 |    1970472 |    1970472 |    1970472 |    1970472 |    1970472 |    1970472
  Idle time (ns)                     |      74249 |     260620 |     155555 |      82058 |     507089 |     192065 |     214556 |     175235 |      89155 |     227486 |     246725 |      83346 |     208190 |     119149 |      72903 |      71837
  Idle time (%)                      |       3.8% |      13.2% |       7.9% |       4.2% |      25.7% |       9.7% |      10.9% |       8.9% |       4.5% |      11.5% |      12.5% |       4.2% |      10.6% |       6.0% |       3.7% |       3.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     181849 |     169072 |     178819 |     195561 |     131918 |     181371 |     179512 |     183813 |     175729 |     165121 |     170994 |     187895 |     157913 |     178276 |     184910 |     184946
  num incorrect                      |        281 |        210 |        279 |        298 |        242 |        270 |        236 |        303 |        241 |        272 |        273 |        315 |        276 |        254 |        303 |        284
  misprediction rate                 |      0.15% |      0.12% |      0.16% |      0.15% |      0.18% |      0.15% |      0.13% |      0.16% |      0.14% |      0.16% |      0.16% |      0.17% |      0.17% |      0.14% |      0.16% |      0.15%
  mpki                               |       0.27 |       0.22 |       0.28 |       0.27 |       0.31 |       0.26 |       0.23 |       0.29 |       0.24 |       0.29 |       0.28 |       0.30 |       0.30 |       0.25 |       0.29 |       0.27
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      31018 |      31011 |      31016 |      31017 |      31014 |      31011 |      31011 |      31014 |      31014 |      31014 |      31011 |      31014 |      31011 |      31011 |      31014 |      31009
    num cache misses                 |         16 |         15 |         16 |         16 |         16 |         15 |         15 |         16 |         16 |         16 |         15 |         16 |         15 |         15 |         16 |         14
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.01 |       0.02 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.02 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     631400 |     592851 |     622308 |     672590 |     481488 |     629928 |     624249 |     637356 |     612918 |     581187 |     598806 |     649638 |     559572 |     620595 |     640647 |     640697
    num cache misses                 |      52272 |      43573 |      45895 |      47958 |      36946 |      41764 |      41540 |      42400 |      47864 |      40875 |      40690 |      44575 |      44660 |      43877 |      44824 |      44638
    miss rate                        |      8.28% |      7.35% |      7.37% |      7.13% |      7.67% |      6.63% |      6.65% |      6.65% |      7.81% |      7.03% |      6.80% |      6.86% |      7.98% |      7.07% |      7.00% |      6.97%
    mpki                             |      50.82 |      45.18 |      45.29 |      43.71 |      47.44 |      40.70 |      40.86 |      40.83 |      47.97 |      43.26 |      41.76 |      42.09 |      49.14 |      43.42 |      42.93 |      42.75
