                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1548349 |    1377341 |    1381501 |    1569698
  Cycles                             |    1428038 |    1428038 |    1428038 |    1428038
  IPC                                |       1.08 |       0.96 |       0.97 |       1.10
  Time (ns)                          |     536857 |     536857 |     536857 |     536857
  Idle time (ns)                     |      14407 |      57967 |      61603 |      20203
  Idle time (%)                      |       2.7% |      10.8% |      11.5% |       3.8%
Branch predictor stats               |            |            |            |           
  num correct                        |     353535 |     310777 |     311803 |     358830
  num incorrect                      |        296 |        315 |        327 |        349
  misprediction rate                 |      0.08% |      0.10% |      0.10% |      0.10%
  mpki                               |       0.19 |       0.23 |       0.24 |       0.22
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      32016 |      32015 |      32015 |      32014
    num cache misses                 |         14 |         17 |         17 |         16
    miss rate                        |      0.04% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     805696 |     720206 |     722284 |     816382
    num cache misses                 |       5229 |       4772 |       4552 |       4885
    miss rate                        |      0.65% |      0.66% |      0.63% |      0.60%
    mpki                             |       3.38 |       3.46 |       3.29 |       3.11
  Cache L2                           |            |            |            |           
    num cache accesses               |       6348 |       5725 |       5562 |       5833
    num cache misses                 |       5243 |       4789 |       4569 |       4901
    miss rate                        |     82.59% |     83.65% |     82.15% |     84.02%
    mpki                             |       3.39 |       3.48 |       3.31 |       3.12
  Cache L3                           |            |            |            |           
    num cache accesses               |       6348 |       5725 |       5562 |       5833
    num cache misses                 |         13 |          4 |          8 |         13
    miss rate                        |      0.20% |      0.07% |      0.14% |      0.22%
    mpki                             |       0.01 |       0.00 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         37 |          0 |          0 |          0
  average dram access latency (ns)   |      75.59 |        inf |        inf |        inf
  average dram queueing delay        |      22.16 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          3 |          3 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
