                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     172090 |     235854 |     230861 |     215672
  Cycles                             |     234702 |     234702 |     234702 |     234702
  IPC                                |       0.73 |       1.00 |       0.98 |       0.92
  Time (ns)                          |      88234 |      88234 |      88234 |      88234
  Idle time (ns)                     |      52229 |      38676 |      37349 |      40043
  Idle time (%)                      |      59.2% |      43.8% |      42.3% |      45.4%
Branch predictor stats               |            |            |            |           
  num correct                        |      30078 |      45944 |      44627 |      40828
  num incorrect                      |        193 |        265 |        335 |        339
  misprediction rate                 |      0.64% |      0.57% |      0.75% |      0.82%
  mpki                               |       1.12 |       1.12 |       1.45 |       1.57
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      12018 |      12021 |      12014 |      12021
    num cache misses                 |         15 |         15 |         14 |         15
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.09 |       0.06 |       0.06 |       0.07
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      95573 |     127455 |     124965 |     117366
    num cache misses                 |       2350 |       2817 |       2975 |       2613
    miss rate                        |      2.46% |      2.21% |      2.38% |      2.23%
    mpki                             |      13.66 |      11.94 |      12.89 |      12.12
  Cache L2                           |            |            |            |           
    num cache accesses               |       3055 |       3549 |       3576 |       3267
    num cache misses                 |         19 |          5 |          5 |         11
    miss rate                        |      0.62% |      0.14% |      0.14% |      0.34%
    mpki                             |       0.11 |       0.02 |       0.02 |       0.05
  Cache L3                           |            |            |            |           
    num cache accesses               |         20 |          8 |          8 |         15
    num cache misses                 |         19 |          5 |          5 |         11
    miss rate                        |     95.00% |     62.50% |     62.50% |     73.33%
    mpki                             |       0.11 |       0.02 |       0.02 |       0.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |         35 |          0 |          0 |          0
  average dram access latency (ns)   |     118.07 |        inf |        inf |        inf
  average dram queueing delay        |      64.65 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          3 |          3 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
