                                     | Core 0     | Core 1    
  Instructions                       |      87729 |      69456
  Cycles                             |      98736 |      98736
  IPC                                |       0.89 |       0.70
  Time (ns)                          |      37119 |      37119
  Idle time (ns)                     |      14492 |      23358
  Idle time (%)                      |      39.0% |      62.9%
Branch predictor stats               |            |           
  num correct                        |       7395 |       4368
  num incorrect                      |         66 |         50
  misprediction rate                 |      0.88% |      1.13%
  mpki                               |       0.75 |       0.72
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      13015 |      13017
    num cache misses                 |         14 |         16
    miss rate                        |      0.11% |      0.12%
    mpki                             |       0.16 |       0.23
  Cache L1-D                         |            |           
    num cache accesses               |      53394 |      44268
    num cache misses                 |        961 |        898
    miss rate                        |      1.80% |      2.03%
    mpki                             |      10.95 |      12.93
  Cache L2                           |            |           
    num cache accesses               |        998 |        999
    num cache misses                 |         24 |          8
    miss rate                        |      2.40% |      0.80%
    mpki                             |       0.27 |       0.12
  Cache L3                           |            |           
    num cache accesses               |         26 |         11
    num cache misses                 |         24 |          8
    miss rate                        |     92.31% |     72.73%
    mpki                             |       0.27 |       0.12
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      98.08 |        inf
  average dram queueing delay        |      44.65 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          7 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
