                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     224170 |     224097 |     224502 |     224249
  Cycles                             |    2320760 |    2320760 |    2320760 |    2320760
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |     872466 |     872466 |     872466 |     872466
  Idle time (ns)                     |     726247 |     729219 |     727434 |     727461
  Idle time (%)                      |      83.2% |      83.6% |      83.4% |      83.4%
Branch predictor stats               |            |            |            |           
  num correct                        |      19564 |      19686 |      19601 |      19604
  num incorrect                      |       1272 |       1148 |       1220 |       1224
  misprediction rate                 |      6.10% |      5.51% |      5.86% |      5.88%
  mpki                               |       5.67 |       5.12 |       5.43 |       5.46
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      18746 |      18715 |      18802 |      18764
    num cache misses                 |         24 |         23 |         24 |         25
    miss rate                        |      0.13% |      0.12% |      0.13% |      0.13%
    mpki                             |       0.11 |       0.10 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     137171 |     137146 |     137358 |     137227
    num cache misses                 |       2748 |       2690 |       2627 |       2619
    miss rate                        |      2.00% |      1.96% |      1.91% |      1.91%
    mpki                             |      12.26 |      12.00 |      11.70 |      11.68
  Cache L2                           |            |            |            |           
    num cache accesses               |       3524 |       3455 |       3436 |       3447
    num cache misses                 |         30 |         12 |         14 |         12
    miss rate                        |      0.85% |      0.35% |      0.41% |      0.35%
    mpki                             |       0.13 |       0.05 |       0.06 |       0.05
  Cache L3                           |            |            |            |           
    num cache accesses               |         32 |         15 |         17 |         15
    num cache misses                 |         30 |         12 |         14 |         12
    miss rate                        |     93.75% |     80.00% |     82.35% |     80.00%
    mpki                             |       0.13 |       0.05 |       0.06 |       0.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     113.46 |        inf |        inf |        inf
  average dram queueing delay        |      60.03 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          4 |          6 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
