                                     | Core 0     | Core 1    
  Instructions                       |    7917881 |    9303957
  Cycles                             |    6924027 |    6924027
  IPC                                |       1.14 |       1.34
  Time (ns)                          |    2603018 |    2603018
  Idle time (ns)                     |     218244 |      12416
  Idle time (%)                      |       8.4% |       0.5%
Branch predictor stats               |            |           
  num correct                        |    1415686 |    1692906
  num incorrect                      |        296 |        300
  misprediction rate                 |      0.02% |      0.02%
  mpki                               |       0.04 |       0.03
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     211018 |     211010
    num cache misses                 |         16 |         14
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    4872956 |    5704613
    num cache misses                 |       3166 |       3231
    miss rate                        |      0.06% |      0.06%
    mpki                             |       0.40 |       0.35
  Cache L2                           |            |           
    num cache accesses               |       3252 |       3248
    num cache misses                 |       3182 |       3245
    miss rate                        |     97.85% |     99.91%
    mpki                             |       0.40 |       0.35
  Cache L3                           |            |           
    num cache accesses               |       3252 |       3248
    num cache misses                 |         26 |          4
    miss rate                        |      0.80% |      0.12%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |     114.88 |        inf
  average dram queueing delay        |      61.45 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          7 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
