                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   42704410 |   43268340 |   43883378 |   39351435 |   41955083 |   44418196 |   40096636 |   38208205
  Cycles                             |   27243671 |   27243671 |   27243671 |   27243671 |   27243671 |   27243671 |   27243671 |   27243671
  IPC                                |       1.57 |       1.59 |       1.61 |       1.44 |       1.54 |       1.63 |       1.47 |       1.40
  Time (ns)                          |   10241982 |   10241982 |   10241982 |   10241982 |   10241982 |   10241982 |   10241982 |   10241982
  Idle time (ns)                     |     536386 |     329961 |     206351 |    1124871 |     587752 |      83157 |     960774 |    1353920
  Idle time (%)                      |       5.2% |       3.2% |       2.0% |      11.0% |       5.7% |       0.8% |       9.4% |      13.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10440030 |   10581035 |   10734793 |    9601879 |   10252715 |   10868550 |    9788201 |    9316088
  num incorrect                      |        565 |        547 |        548 |        486 |        551 |        508 |        459 |        465
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     210018 |     210016 |     210016 |     210013 |     210016 |     210011 |     210016 |     210016
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         14 |         15 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   21609229 |   21891205 |   22198723 |   19932753 |   21234575 |   22466134 |   20305356 |   19361140
    num cache misses                 |      10586 |      10786 |      10798 |       9666 |      10392 |      10921 |       9794 |       9341
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.24 |       0.24
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11563 |      11866 |      11876 |      10720 |      11460 |      11889 |      10855 |      10378
    num cache misses                 |      10601 |      10801 |      10813 |       9681 |      10407 |      10935 |       9809 |       9356
    miss rate                        |     91.68% |     91.02% |     91.05% |     90.31% |     90.81% |     91.98% |     90.36% |     90.15%
    mpki                             |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.24 |       0.24
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11563 |      11866 |      11876 |      10720 |      11460 |      11889 |      10855 |      10378
    num cache misses                 |      10601 |      10801 |      10813 |       9681 |      10407 |      10935 |       9809 |       9356
    miss rate                        |     91.68% |     91.02% |     91.05% |     90.31% |     90.81% |     91.98% |     90.36% |     90.15%
    mpki                             |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.24 |       0.24
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      63815 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      66.64 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      13.21 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      5.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       7343 |       7899 |       8071 |       7358 |       7895 |       8514 |       7701 |       7308
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2640 |       2069 |       1919 |       1522 |       1664 |       1704 |       1368 |       1273
