                                     | Core 0     | Core 1    
  Instructions                       |     219073 |     219024
  Cycles                             |    1583960 |    1583960
  IPC                                |       0.14 |       0.14
  Time (ns)                          |     595474 |     595474
  Idle time (ns)                     |     448467 |     450705
  Idle time (%)                      |      75.3% |      75.7%
Branch predictor stats               |            |           
  num correct                        |      19701 |      19694
  num incorrect                      |        811 |        803
  misprediction rate                 |      3.95% |      3.92%
  mpki                               |       3.70 |       3.67
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      18133 |      18142
    num cache misses                 |         22 |         25
    miss rate                        |      0.12% |      0.14%
    mpki                             |       0.10 |       0.11
  Cache L1-D                         |            |           
    num cache accesses               |     135055 |     135059
    num cache misses                 |       2221 |       2199
    miss rate                        |      1.64% |      1.63%
    mpki                             |      10.14 |      10.04
  Cache L2                           |            |           
    num cache accesses               |       3435 |       3424
    num cache misses                 |       2247 |       2228
    miss rate                        |     65.41% |     65.07%
    mpki                             |      10.26 |      10.17
  Cache L3                           |            |           
    num cache accesses               |       3435 |       3424
    num cache misses                 |       2247 |       2228
    miss rate                        |     65.41% |     65.07%
    mpki                             |      10.26 |      10.17
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |      96.13 |        inf
  average dram queueing delay        |      42.70 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          8 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |       1363 |       1344
