                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     562160 |     682990 |     735993 |     692963
  Cycles                             |    1117595 |    1117595 |    1117595 |    1117595
  IPC                                |       0.50 |       0.61 |       0.66 |       0.62
  Time (ns)                          |     420149 |     420149 |     420149 |     420149
  Idle time (ns)                     |     112303 |      55085 |      37350 |      50009
  Idle time (%)                      |      26.7% |      13.1% |       8.9% |      11.9%
Branch predictor stats               |            |            |            |           
  num correct                        |      75910 |      96038 |     104896 |      97696
  num incorrect                      |        125 |        128 |        115 |        140
  misprediction rate                 |      0.16% |      0.13% |      0.11% |      0.14%
  mpki                               |       0.22 |       0.19 |       0.16 |       0.20
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      31019 |      31026 |      31009 |      31020
    num cache misses                 |         16 |         16 |         14 |         16
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.03 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     313108 |     373517 |     400040 |     378511
    num cache misses                 |       4190 |       4394 |       4421 |       4450
    miss rate                        |      1.34% |      1.18% |      1.11% |      1.18%
    mpki                             |       7.45 |       6.43 |       6.01 |       6.42
  Cache L2                           |            |            |            |           
    num cache accesses               |       4309 |       4503 |       4531 |       4566
    num cache misses                 |       4206 |       4410 |       4435 |       4466
    miss rate                        |     97.61% |     97.93% |     97.88% |     97.81%
    mpki                             |       7.48 |       6.46 |       6.03 |       6.44
  Cache L3                           |            |            |            |           
    num cache accesses               |       4309 |       4503 |       4531 |       4566
    num cache misses                 |       4206 |       4410 |       4435 |       4466
    miss rate                        |     97.61% |     97.93% |     97.88% |     97.81%
    mpki                             |       7.48 |       6.46 |       6.03 |       6.44
DRAM summary                         |            |            |            |           
  num dram accesses                  |         78 |          0 |          0 |          0
  average dram access latency (ns)   |     117.10 |        inf |        inf |        inf
  average dram queueing delay        |      63.67 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          8 |          8 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |         99 |         86 |         86 |         91
