                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     103939 |     104905 |     102443 |     104400 |     104175 |     104446 |     102421 |     102979 |     104186 |     104532 |     103983 |     103680 |     103641 |     104637 |     104365 |     103905
  Cycles                             |    3875676 |    3875676 |    3875676 |    3875676 |    3875676 |    3875676 |    3875676 |    3875676 |    3875676 |    3875676 |    3875676 |    3875676 |    3875676 |    3875676 |    3875676 |    3875676
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |    1457021 |    1457021 |    1457021 |    1457021 |    1457021 |    1457021 |    1457021 |    1457021 |    1457021 |    1457021 |    1457021 |    1457021 |    1457021 |    1457021 |    1457021 |    1457021
  Idle time (ns)                     |    1377175 |    1372341 |    1380199 |    1379043 |    1372945 |    1374564 |    1387904 |    1383882 |    1378567 |    1379647 |    1380006 |    1379066 |    1382861 |    1374009 |    1380987 |    1374710
  Idle time (%)                      |      94.5% |      94.2% |      94.7% |      94.6% |      94.2% |      94.3% |      95.3% |      95.0% |      94.6% |      94.7% |      94.7% |      94.6% |      94.9% |      94.3% |      94.8% |      94.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      10916 |      10907 |      10867 |      10928 |      10888 |      10895 |      10928 |      10950 |      10923 |      10902 |      10845 |      10876 |      10923 |      10942 |      10915 |      10821
  num incorrect                      |        766 |        866 |        726 |        793 |        820 |        849 |        667 |        690 |        809 |        832 |        846 |        772 |        764 |        833 |        812 |        873
  misprediction rate                 |      6.56% |      7.36% |      6.26% |      6.77% |      7.00% |      7.23% |      5.75% |      5.93% |      6.90% |      7.09% |      7.24% |      6.63% |      6.54% |      7.07% |      6.92% |      7.47%
  mpki                               |       7.37 |       8.26 |       7.09 |       7.60 |       7.87 |       8.13 |       6.51 |       6.70 |       7.76 |       7.96 |       8.14 |       7.45 |       7.37 |       7.96 |       7.78 |       8.40
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
