                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    1405377 |    1405775 |    1406067 |    1405313 |    1405283 |    1406306 |    1405253 |    1405223 |    1405807 |    1406406 |    1405536 |    1405362 |    1405858 |    1405512 |    1405936 |    1405486
  Cycles                             |  103978025 |  103978025 |  103978025 |  103978025 |  103978025 |  103978025 |  103978025 |  103978025 |  103978025 |  103978025 |  103978025 |  103978025 |  103978025 |  103978025 |  103978025 |  103978025
  IPC                                |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Time (ns)                          |   39089483 |   39089483 |   39089483 |   39089483 |   39089483 |   39089483 |   39089483 |   39089483 |   39089483 |   39089483 |   39089483 |   39089483 |   39089483 |   39089483 |   39089483 |   39089483
  Idle time (ns)                     |   37643040 |   37626939 |   37624250 |   37627646 |   37629068 |   37616558 |   37624526 |   37627625 |   37620924 |   37624981 |   37622190 |   37628369 |   37624504 |   37630608 |   37625586 |   37626502
  Idle time (%)                      |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.2% |      96.3% |      96.3% |      96.2% |      96.3% |      96.2% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     110397 |     110417 |     110388 |     110370 |     110358 |     110474 |     110378 |     110378 |     110415 |     110453 |     110394 |     110362 |     110402 |     110514 |     110418 |     110386
  num incorrect                      |        913 |        928 |        995 |        928 |        931 |        951 |        916 |        905 |        952 |        972 |        930 |        931 |        968 |        906 |        951 |        943
  misprediction rate                 |      0.82% |      0.83% |      0.89% |      0.83% |      0.84% |      0.85% |      0.82% |      0.81% |      0.85% |      0.87% |      0.84% |      0.84% |      0.87% |      0.81% |      0.85% |      0.85%
  mpki                               |       0.65 |       0.66 |       0.71 |       0.66 |       0.66 |       0.68 |       0.65 |       0.64 |       0.68 |       0.69 |       0.66 |       0.66 |       0.69 |       0.64 |       0.68 |       0.67
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      19995 |      20038 |      20051 |      19995 |      19997 |      20048 |      19991 |      20007 |      20004 |      20094 |      20021 |      20017 |      20021 |      19926 |      20051 |      19981
    num cache misses                 |         24 |         25 |         26 |         25 |         26 |         25 |         25 |         25 |         25 |         26 |         25 |         25 |         25 |         24 |         25 |         26
    miss rate                        |      0.12% |      0.12% |      0.13% |      0.13% |      0.13% |      0.12% |      0.13% |      0.12% |      0.12% |      0.13% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.13%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     951939 |     952071 |     952158 |     951918 |     951898 |     952241 |     951903 |     951912 |     952076 |     952296 |     952003 |     951939 |     952095 |     951852 |     952133 |     951960
    num cache misses                 |       3643 |       3644 |       3679 |       3574 |       3511 |       3738 |       3542 |       3559 |       3640 |       3719 |       3624 |       3559 |       3650 |       3609 |       3650 |       3580
    miss rate                        |      0.38% |      0.38% |      0.39% |      0.38% |      0.37% |      0.39% |      0.37% |      0.37% |      0.38% |      0.39% |      0.38% |      0.37% |      0.38% |      0.38% |      0.38% |      0.38%
    mpki                             |       2.59 |       2.59 |       2.62 |       2.54 |       2.50 |       2.66 |       2.52 |       2.53 |       2.59 |       2.64 |       2.58 |       2.53 |       2.60 |       2.57 |       2.60 |       2.55
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
