                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    1403497 |    1403450 |    1403431 |    1403225 |    1402200 |    1402137 |    1403161 |    1403581
  Cycles                             |   50928851 |   50928851 |   50928851 |   50928851 |   50928851 |   50928851 |   50928851 |   50928851
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |   19146185 |   19146185 |   19146185 |   19146185 |   19146185 |   19146185 |   19146185 |   19146185
  Idle time (ns)                     |   17750269 |   17752346 |   17750403 |   17753005 |   17747661 |   17748113 |   17742683 |   17741644
  Idle time (%)                      |      92.7% |      92.7% |      92.7% |      92.7% |      92.7% |      92.7% |      92.7% |      92.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     110684 |     110698 |     110670 |     110672 |     110546 |     110534 |     110644 |     110687
  num incorrect                      |        544 |        510 |        536 |        510 |        490 |        497 |        524 |        536
  misprediction rate                 |      0.49% |      0.46% |      0.48% |      0.46% |      0.44% |      0.45% |      0.47% |      0.48%
  mpki                               |       0.39 |       0.36 |       0.38 |       0.36 |       0.35 |       0.35 |       0.37 |       0.38
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      19464 |      19472 |      19470 |      19457 |      19457 |      19444 |      19469 |      19485
    num cache misses                 |         22 |         24 |         24 |         24 |         24 |         24 |         24 |         24
    miss rate                        |      0.11% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     951035 |     951044 |     951038 |     950967 |     950675 |     950649 |     950958 |     951092
    num cache misses                 |       2295 |       2296 |       2293 |       2274 |       2108 |       2097 |       2221 |       2287
    miss rate                        |      0.24% |      0.24% |      0.24% |      0.24% |      0.22% |      0.22% |      0.23% |      0.24%
    mpki                             |       1.64 |       1.64 |       1.63 |       1.62 |       1.50 |       1.50 |       1.58 |       1.63
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2529 |       2538 |       2524 |       2503 |       2417 |       2390 |       2551 |       2600
    num cache misses                 |       1325 |       1266 |       1267 |       1286 |       1138 |       1116 |       1271 |       1298
    miss rate                        |     52.39% |     49.88% |     50.20% |     51.38% |     47.08% |     46.69% |     49.82% |     49.92%
    mpki                             |       0.94 |       0.90 |       0.90 |       0.92 |       0.81 |       0.80 |       0.91 |       0.92
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1437 |       1394 |       1373 |       1418 |       1334 |       1291 |       1496 |       1498
    num cache misses                 |         26 |         13 |         12 |         13 |         11 |         15 |         23 |         12
    miss rate                        |      1.81% |      0.93% |      0.87% |      0.92% |      0.82% |      1.16% |      1.54% |      0.80%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         81 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     171.09 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     117.66 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          6 |          7 |          7 |          6 |          4 |          9 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
