                                     | Core 0     | Core 1    
  Instructions                       |      97723 |     102034
  Cycles                             |     134728 |     134728
  IPC                                |       0.73 |       0.76
  Time (ns)                          |      50650 |      50650
  Idle time (ns)                     |      19352 |      14422
  Idle time (%)                      |      38.2% |      28.5%
Branch predictor stats               |            |           
  num correct                        |      11586 |      12625
  num incorrect                      |         97 |        122
  misprediction rate                 |      0.83% |      0.96%
  mpki                               |       0.99 |       1.20
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      12018 |      12019
    num cache misses                 |         15 |         15
    miss rate                        |      0.12% |      0.12%
    mpki                             |       0.15 |       0.15
  Cache L1-D                         |            |           
    num cache accesses               |      58392 |      60521
    num cache misses                 |        491 |        640
    miss rate                        |      0.84% |      1.06%
    mpki                             |       5.02 |       6.27
  Cache L2                           |            |           
    num cache accesses               |        800 |        800
    num cache misses                 |        506 |        655
    miss rate                        |     63.25% |     81.88%
    mpki                             |       5.18 |       6.42
  Cache L3                           |            |           
    num cache accesses               |        800 |        800
    num cache misses                 |         18 |         11
    miss rate                        |      2.25% |      1.38%
    mpki                             |       0.18 |       0.11
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |      90.72 |        inf
  average dram queueing delay        |      37.29 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
