                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     223840 |     223499 |     223706 |     223076
  Cycles                             |    2203113 |    2203113 |    2203113 |    2203113
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |     828238 |     828238 |     828238 |     828238
  Idle time (ns)                     |     684632 |     685476 |     683700 |     686355
  Idle time (%)                      |      82.7% |      82.8% |      82.5% |      82.9%
Branch predictor stats               |            |            |            |           
  num correct                        |      19714 |      19659 |      19627 |      19630
  num incorrect                      |       1120 |       1141 |       1166 |       1091
  misprediction rate                 |      5.38% |      5.49% |      5.61% |      5.27%
  mpki                               |       5.00 |       5.11 |       5.21 |       4.89
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      18695 |      18670 |      18697 |      18654
    num cache misses                 |         22 |         24 |         24 |         25
    miss rate                        |      0.12% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.10 |       0.11 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     137016 |     136878 |     137006 |     136784
    num cache misses                 |       2496 |       2442 |       2555 |       2414
    miss rate                        |      1.82% |      1.78% |      1.86% |      1.76%
    mpki                             |      11.15 |      10.93 |      11.42 |      10.82
  Cache L2                           |            |            |            |           
    num cache accesses               |       3225 |       3166 |       3291 |       3226
    num cache misses                 |         23 |         23 |         12 |         10
    miss rate                        |      0.71% |      0.73% |      0.36% |      0.31%
    mpki                             |       0.10 |       0.10 |       0.05 |       0.04
  Cache L3                           |            |            |            |           
    num cache accesses               |         25 |         26 |         15 |         13
    num cache misses                 |         23 |         23 |         12 |         10
    miss rate                        |     92.00% |     88.46% |     80.00% |     76.92%
    mpki                             |       0.10 |       0.10 |       0.05 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     130.42 |        inf |        inf |        inf
  average dram queueing delay        |      77.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          8 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
