                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     174622 |     174177 |     139121 |     151707 |     177619 |     138343 |     127939 |     152154
  Cycles                             |     761453 |     761453 |     761453 |     761453 |     761453 |     761453 |     761453 |     761453
  IPC                                |       0.23 |       0.23 |       0.18 |       0.20 |       0.23 |       0.18 |       0.17 |       0.20
  Time (ns)                          |     286261 |     286261 |     286261 |     286261 |     286261 |     286261 |     286261 |     286261
  Idle time (ns)                     |      83223 |      84172 |     119727 |      98062 |      94593 |     125111 |     140218 |     101150
  Idle time (%)                      |      29.1% |      29.4% |      41.8% |      34.3% |      33.0% |      43.7% |      49.0% |      35.3%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      25626 |      25554 |      18532 |      21050 |      26229 |      18370 |      16308 |      21157
  num incorrect                      |        103 |         90 |         97 |        100 |        106 |        108 |         91 |         85
  misprediction rate                 |      0.40% |      0.35% |      0.52% |      0.47% |      0.40% |      0.58% |      0.55% |      0.40%
  mpki                               |       0.59 |       0.52 |       0.70 |       0.66 |       0.60 |       0.78 |       0.71 |       0.56
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      13016 |      13016 |      13016 |      13016 |      13014 |      13014 |      13014 |      13014
    num cache misses                 |         14 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.11% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.08 |       0.09 |       0.12 |       0.11 |       0.09 |       0.12 |       0.13 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     108198 |     107947 |      86902 |      94465 |     110013 |      86442 |      80205 |      94734
    num cache misses                 |       5836 |       5407 |       4628 |       5089 |       5489 |       4474 |       4009 |       4847
    miss rate                        |      5.39% |      5.01% |      5.33% |      5.39% |      4.99% |      5.18% |      5.00% |      5.12%
    mpki                             |      33.42 |      31.04 |      33.27 |      33.54 |      30.90 |      32.34 |      31.34 |      31.86
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5913 |       5503 |       4753 |       5221 |       5607 |       4592 |       4101 |       4944
    num cache misses                 |       5850 |       5423 |       4644 |       5105 |       5505 |       4490 |       4025 |       4863
    miss rate                        |     98.93% |     98.55% |     97.71% |     97.78% |     98.18% |     97.78% |     98.15% |     98.36%
    mpki                             |      33.50 |      31.13 |      33.38 |      33.65 |      30.99 |      32.46 |      31.46 |      31.96
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5913 |       5503 |       4753 |       5221 |       5607 |       4592 |       4101 |       4944
    num cache misses                 |       1981 |       2016 |       1864 |       2244 |       2273 |       1903 |       1702 |       2028
    miss rate                        |     33.50% |     36.63% |     39.22% |     42.98% |     40.54% |     41.44% |     41.50% |     41.02%
    mpki                             |      11.34 |      11.57 |      13.40 |      14.79 |      12.80 |      13.76 |      13.30 |      13.33
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     161.61 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     108.18 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          7 |          5 |          5 |          4 |          4 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        913 |       1020 |        856 |       1003 |        918 |        838 |        737 |        942
