                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    1405827 |    1405686 |    1405712 |    1405567 |    1406238 |    1406455 |    1406428 |    1404677 |    1405494 |    1405587 |    1406144 |    1404859 |    1404738 |    1406039 |    1405016 |    1405665
  Cycles                             |  103228344 |  103228344 |  103228344 |  103228344 |  103228344 |  103228344 |  103228344 |  103228344 |  103228344 |  103228344 |  103228344 |  103228344 |  103228344 |  103228344 |  103228344 |  103228344
  IPC                                |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Time (ns)                          |   38807648 |   38807648 |   38807648 |   38807648 |   38807648 |   38807648 |   38807648 |   38807648 |   38807648 |   38807648 |   38807648 |   38807648 |   38807648 |   38807648 |   38807648 |   38807648
  Idle time (ns)                     |   37369491 |   37367996 |   37370057 |   37367753 |   37355908 |   37355287 |   37351898 |   37360264 |   37359093 |   37358926 |   37357873 |   37361445 |   37359012 |   37353712 |   37358054 |   37355351
  Idle time (%)                      |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.2% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     110448 |     110387 |     110427 |     110385 |     110399 |     110456 |     110416 |     110295 |     110381 |     110432 |     110415 |     110367 |     110485 |     110387 |     110309 |     110435
  num incorrect                      |        911 |        951 |        912 |        940 |       1009 |        973 |       1018 |        922 |        936 |        901 |        978 |        864 |        924 |        996 |        931 |        912
  misprediction rate                 |      0.82% |      0.85% |      0.82% |      0.84% |      0.91% |      0.87% |      0.91% |      0.83% |      0.84% |      0.81% |      0.88% |      0.78% |      0.83% |      0.89% |      0.84% |      0.82%
  mpki                               |       0.65 |       0.68 |       0.65 |       0.67 |       0.72 |       0.69 |       0.72 |       0.66 |       0.67 |       0.64 |       0.70 |       0.62 |       0.66 |       0.71 |       0.66 |       0.65
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      20035 |      20045 |      20029 |      20033 |      20068 |      20098 |      20075 |      19972 |      20027 |      20017 |      20074 |      20008 |      19790 |      20058 |      20029 |      20009
