                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1399680 |    1401479 |    1401775 |    1402015
  Cycles                             |   24662501 |   24662501 |   24662501 |   24662501
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |    9271617 |    9271617 |    9271617 |    9271617
  Idle time (ns)                     |    7921300 |    7917783 |    7916954 |    7916799
  Idle time (%)                      |      85.4% |      85.4% |      85.4% |      85.4%
Branch predictor stats               |            |            |            |           
  num correct                        |     110841 |     110711 |     110706 |     110767
  num incorrect                      |        285 |        284 |        320 |        301
  misprediction rate                 |      0.26% |      0.26% |      0.29% |      0.27%
  mpki                               |       0.20 |       0.20 |       0.23 |       0.21
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      18877 |      19271 |      19299 |      19280
    num cache misses                 |         24 |         26 |         26 |         25
    miss rate                        |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     949243 |     950343 |     950450 |     950499
    num cache misses                 |       1949 |       2011 |       2039 |       2112
    miss rate                        |      0.21% |      0.21% |      0.21% |      0.22%
    mpki                             |       1.39 |       1.43 |       1.45 |       1.51
  Cache L2                           |            |            |            |           
    num cache accesses               |       2105 |       2162 |       2218 |       2271
    num cache misses                 |         15 |         12 |          7 |         27
    miss rate                        |      0.71% |      0.56% |      0.32% |      1.19%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.02
  Cache L3                           |            |            |            |           
    num cache accesses               |         16 |         15 |         10 |         29
    num cache misses                 |         15 |         12 |          7 |         27
    miss rate                        |     93.75% |     80.00% |     70.00% |     93.10%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.02
DRAM summary                         |            |            |            |           
  num dram accesses                  |         58 |          0 |          0 |          0
  average dram access latency (ns)   |     105.35 |        inf |        inf |        inf
  average dram queueing delay        |      51.92 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          5 |          4 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
