                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    2209896 |    2345682 |    2192045 |    1740830 |    2050174 |    2001415 |    2052415 |    1941635 |    1965948 |    1874545 |    2098400 |    1821395 |    2167862 |    2160435 |    1386355 |    1713841
  Cycles                             |    3839900 |    3839900 |    3839900 |    3839900 |    3839900 |    3839900 |    3839900 |    3839900 |    3839900 |    3839900 |    3839900 |    3839900 |    3839900 |    3839900 |    3839900 |    3839900
  IPC                                |       0.58 |       0.61 |       0.57 |       0.45 |       0.53 |       0.52 |       0.53 |       0.51 |       0.51 |       0.49 |       0.55 |       0.47 |       0.56 |       0.56 |       0.36 |       0.45
  Time (ns)                          |    1443572 |    1443572 |    1443572 |    1443572 |    1443572 |    1443572 |    1443572 |    1443572 |    1443572 |    1443572 |    1443572 |    1443572 |    1443572 |    1443572 |    1443572 |    1443572
  Idle time (ns)                     |     226101 |      73054 |     145805 |     412391 |     188298 |      97974 |      71838 |     136949 |     261842 |     223498 |      92760 |     222924 |     147868 |      76527 |     524320 |     325691
  Idle time (%)                      |      15.7% |       5.1% |      10.1% |      28.6% |      13.0% |       6.8% |       5.0% |       9.5% |      18.1% |      15.5% |       6.4% |      15.4% |      10.2% |       5.3% |      36.3% |      22.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     418054 |     445189 |     414478 |     324307 |     386148 |     376340 |     386570 |     364409 |     369314 |     350991 |     395739 |     340367 |     409643 |     408171 |     253414 |     318891
  num incorrect                      |        331 |        356 |        329 |        266 |        299 |        341 |        321 |        325 |        284 |        316 |        348 |        311 |        338 |        323 |        264 |        277
  misprediction rate                 |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.09% |      0.08% |      0.09% |      0.08% |      0.09% |      0.09% |      0.09% |      0.08% |      0.08% |      0.10% |      0.09%
  mpki                               |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.17 |       0.16 |       0.17 |       0.14 |       0.17 |       0.17 |       0.17 |       0.16 |       0.15 |       0.19 |       0.16
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      31018 |      31016 |      31016 |      31021 |      31012 |      31016 |      31014 |      31021 |      31016 |      31016 |      31020 |      31017 |      31016 |      31021 |      31021 |      31021
    num cache misses                 |         16 |         16 |         16 |         16 |         15 |         16 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1340165 |    1421650 |    1329437 |    1058728 |    1244345 |    1215059 |    1245689 |    1179211 |    1193810 |    1138937 |    1273273 |    1107047 |    1314959 |    1310491 |     846043 |    1042513
    num cache misses                 |     126440 |     115837 |     114799 |      91980 |     118073 |     105962 |     107643 |     101909 |     108473 |      95937 |      98942 |      93891 |     106946 |      96007 |      67802 |      81597
    miss rate                        |      9.43% |      8.15% |      8.64% |      8.69% |      9.49% |      8.72% |      8.64% |      8.64% |      9.09% |      8.42% |      7.77% |      8.48% |      8.13% |      7.33% |      8.01% |      7.83%
    mpki                             |      57.22 |      49.38 |      52.37 |      52.84 |      57.59 |      52.94 |      52.45 |      52.49 |      55.18 |      51.18 |      47.15 |      51.55 |      49.33 |      44.44 |      48.91 |      47.61
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     126879 |     116221 |     115149 |      92343 |     118465 |     106315 |     108038 |     102345 |     108818 |      96294 |      99341 |      94267 |     107337 |      96388 |      68114 |      81965
    num cache misses                 |      33865 |      36201 |      34807 |      27457 |      31820 |      32675 |      33218 |      31924 |      29946 |      29219 |      32309 |      29367 |      32569 |      32563 |      21822 |      26429
    miss rate                        |     26.69% |     31.15% |     30.23% |     29.73% |     26.86% |     30.73% |     30.75% |     31.19% |     27.52% |     30.34% |     32.52% |     31.15% |     30.34% |     33.78% |     32.04% |     32.24%
    mpki                             |      15.32 |      15.43 |      15.88 |      15.77 |      15.52 |      16.33 |      16.18 |      16.44 |      15.23 |      15.59 |      15.40 |      16.12 |      15.02 |      15.07 |      15.74 |      15.42
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      34235 |      36526 |      35124 |      27787 |      32153 |      32963 |      33568 |      32290 |      30235 |      29521 |      32663 |      29691 |      32911 |      32897 |      22072 |      26749
    num cache misses                 |      33865 |      36201 |      34805 |      27455 |      31820 |      32674 |      33218 |      31923 |      29946 |      29218 |      32308 |      29367 |      32568 |      32563 |      21821 |      26429
    miss rate                        |     98.92% |     99.11% |     99.09% |     98.81% |     98.96% |     99.12% |     98.96% |     98.86% |     99.04% |     98.97% |     98.91% |     98.91% |     98.96% |     98.98% |     98.86% |     98.80%
    mpki                             |      15.32 |      15.43 |      15.88 |      15.77 |      15.52 |      16.33 |      16.18 |      16.44 |      15.23 |      15.59 |      15.40 |      16.12 |      15.02 |      15.07 |      15.74 |      15.42
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        156 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     218.06 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     164.63 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          9 |          7 |          3 |          7 |          7 |          5 |          3 |          8 |          8 |          5 |          6 |          5 |          6 |          3 |          8
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        349 |        312 |        306 |        317 |        306 |        268 |        328 |        349 |        279 |        285 |        333 |        296 |        328 |        315 |        247 |        303
