                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     386551 |     672821 |     515580 |     499590 |     527598 |     601458 |     552981 |     588593
  Cycles                             |    2843967 |    2843967 |    2843967 |    2843967 |    2843967 |    2843967 |    2843967 |    2843967
  IPC                                |       0.14 |       0.24 |       0.18 |       0.18 |       0.19 |       0.21 |       0.19 |       0.21
  Time (ns)                          |    1069161 |    1069161 |    1069161 |    1069161 |    1069161 |    1069161 |    1069161 |    1069161
  Idle time (ns)                     |     440273 |     145082 |     226629 |     231307 |     120813 |      83130 |     152273 |     119303
  Idle time (%)                      |      41.2% |      13.6% |      21.2% |      21.6% |      11.3% |       7.8% |      14.2% |      11.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      53528 |     110636 |      79284 |      76077 |      81634 |      96449 |      86713 |      93833
  num incorrect                      |        188 |        338 |        242 |        250 |        293 |        250 |        293 |        293
  misprediction rate                 |      0.35% |      0.30% |      0.30% |      0.33% |      0.36% |      0.26% |      0.34% |      0.31%
  mpki                               |       0.49 |       0.50 |       0.47 |       0.50 |       0.56 |       0.42 |       0.53 |       0.50
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      31018 |      31016 |      31016 |      31016 |      31021 |      31018 |      31016 |      31021
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.04 |       0.02 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     246158 |     417935 |     323591 |     313995 |     330790 |     375106 |     346031 |     367387
    num cache misses                 |      15837 |      22580 |      19943 |      19643 |      25089 |      23759 |      21851 |      22875
    miss rate                        |      6.43% |      5.40% |      6.16% |      6.26% |      7.58% |      6.33% |      6.31% |      6.23%
    mpki                             |      40.97 |      33.56 |      38.68 |      39.32 |      47.55 |      39.50 |      39.51 |      38.86
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      15995 |      22808 |      20113 |      19828 |      25280 |      23951 |      22041 |      23075
    num cache misses                 |      15853 |      22596 |      19959 |      19659 |      25105 |      23775 |      21867 |      22892
    miss rate                        |     99.11% |     99.07% |     99.23% |     99.15% |     99.31% |     99.27% |     99.21% |     99.21%
    mpki                             |      41.01 |      33.58 |      38.71 |      39.35 |      47.58 |      39.53 |      39.54 |      38.89
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      15995 |      22808 |      20113 |      19828 |      25280 |      23951 |      22041 |      23075
    num cache misses                 |       5188 |       9805 |       7778 |       7555 |       7623 |       7960 |       8099 |       7935
    miss rate                        |     32.44% |     42.99% |     38.67% |     38.10% |     30.15% |     33.23% |     36.75% |     34.39%
    mpki                             |      13.42 |      14.57 |      15.09 |      15.12 |      14.45 |      13.23 |      14.65 |      13.48
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     156.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     102.57 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          5 |          4 |          8 |          4 |          4 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2409 |       3758 |       3694 |       3746 |       3628 |       4067 |       4056 |       4072
