                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     398156 |     409676 |     420932 |     400045
  Cycles                             |    1339373 |    1339373 |    1339373 |    1339373
  IPC                                |       0.30 |       0.31 |       0.31 |       0.30
  Time (ns)                          |     503524 |     503524 |     503524 |     503524
  Idle time (ns)                     |      48051 |      54679 |      24904 |      36516
  Idle time (%)                      |       9.5% |      10.9% |       4.9% |       7.3%
Branch predictor stats               |            |            |            |           
  num correct                        |      48534 |      50464 |      52349 |      48858
  num incorrect                      |        167 |        153 |        146 |        154
  misprediction rate                 |      0.34% |      0.30% |      0.28% |      0.31%
  mpki                               |       0.42 |       0.37 |       0.35 |       0.38
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      31019 |      31027 |      31016 |      31027
    num cache misses                 |         16 |         16 |         13 |         16
    miss rate                        |      0.05% |      0.05% |      0.04% |      0.05%
    mpki                             |       0.04 |       0.04 |       0.03 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     231106 |     236858 |     242496 |     232043
    num cache misses                 |      11347 |      10698 |      11586 |      11388
    miss rate                        |      4.91% |      4.52% |      4.78% |      4.91%
    mpki                             |      28.50 |      26.11 |      27.52 |      28.47
  Cache L2                           |            |            |            |           
    num cache accesses               |      11406 |      10742 |      11629 |      11454
    num cache misses                 |      11363 |      10715 |      11599 |      11404
    miss rate                        |     99.62% |     99.75% |     99.74% |     99.56%
    mpki                             |      28.54 |      26.15 |      27.56 |      28.51
  Cache L3                           |            |            |            |           
    num cache accesses               |      11406 |      10742 |      11629 |      11454
    num cache misses                 |         16 |         20 |          8 |          5
    miss rate                        |      0.14% |      0.19% |      0.07% |      0.04%
    mpki                             |       0.04 |       0.05 |       0.02 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |      78.85 |        inf |        inf |        inf
  average dram queueing delay        |      25.42 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          6 |          4 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
