                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     111491 |     102281 |      79966 |     129385
  Cycles                             |     240515 |     240515 |     240515 |     240515
  IPC                                |       0.46 |       0.43 |       0.33 |       0.54
  Time (ns)                          |      90419 |      90419 |      90419 |      90419
  Idle time (ns)                     |      29439 |      40502 |      66134 |      25796
  Idle time (%)                      |      32.6% |      44.8% |      73.1% |      28.5%
Branch predictor stats               |            |            |            |           
  num correct                        |      13019 |      11148 |       6785 |      16616
  num incorrect                      |         85 |        112 |         15 |         62
  misprediction rate                 |      0.65% |      0.99% |      0.22% |      0.37%
  mpki                               |       0.76 |       1.10 |       0.19 |       0.48
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      13020 |      13014 |      13019 |      13018
    num cache misses                 |         16 |         16 |         15 |         14
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.11%
    mpki                             |       0.14 |       0.16 |       0.19 |       0.11
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      70321 |      64788 |      51403 |      81053
    num cache misses                 |       2077 |       1524 |        521 |       1910
    miss rate                        |      2.95% |      2.35% |      1.01% |      2.36%
    mpki                             |      18.63 |      14.90 |       6.52 |      14.76
  Cache L2                           |            |            |            |           
    num cache accesses               |       2171 |       1619 |        539 |       1978
    num cache misses                 |       2093 |       1540 |        536 |       1924
    miss rate                        |     96.41% |     95.12% |     99.44% |     97.27%
    mpki                             |      18.77 |      15.06 |       6.70 |      14.87
  Cache L3                           |            |            |            |           
    num cache accesses               |       2171 |       1619 |        539 |       1978
    num cache misses                 |       2093 |       1540 |        536 |       1924
    miss rate                        |     96.41% |     95.12% |     99.44% |     97.27%
    mpki                             |      18.77 |      15.06 |       6.70 |      14.87
DRAM summary                         |            |            |            |           
  num dram accesses                  |         78 |          0 |          0 |          0
  average dram access latency (ns)   |      82.20 |        inf |        inf |        inf
  average dram queueing delay        |      28.77 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          8 |          5 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |         69 |         71 |          5 |         58
