                                     | Core 0     | Core 1    
  Instructions                       |      97371 |      97695
  Cycles                             |     629746 |     629746
  IPC                                |       0.15 |       0.16
  Time (ns)                          |     236747 |     236747
  Idle time (ns)                     |     211199 |     211009
  Idle time (%)                      |      89.2% |      89.1%
Branch predictor stats               |            |           
  num correct                        |      10807 |      10820
  num incorrect                      |        438 |        452
  misprediction rate                 |      3.90% |      4.01%
  mpki                               |       4.50 |       4.63
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      17558 |      17603
    num cache misses                 |         24 |         24
    miss rate                        |      0.14% |      0.14%
    mpki                             |       0.25 |       0.25
  Cache L1-D                         |            |           
    num cache accesses               |      51975 |      52123
    num cache misses                 |       1564 |       1557
    miss rate                        |      3.01% |      2.99%
    mpki                             |      16.06 |      15.94
  Cache L2                           |            |           
    num cache accesses               |       2178 |       2183
    num cache misses                 |         26 |         26
    miss rate                        |      1.19% |      1.19%
    mpki                             |       0.27 |       0.27
  Cache L3                           |            |           
    num cache accesses               |         27 |         30
    num cache misses                 |         26 |         26
    miss rate                        |     96.30% |     86.67%
    mpki                             |       0.27 |       0.27
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |     125.34 |        inf
  average dram queueing delay        |      71.91 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          3 |         10
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
