                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    1404654 |    1405203 |    1404794 |    1404230 |    1405005 |    1404502 |    1405287 |    1404205
  Cycles                             |   50834965 |   50834965 |   50834965 |   50834965 |   50834965 |   50834965 |   50834965 |   50834965
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |   19110889 |   19110889 |   19110889 |   19110889 |   19110889 |   19110889 |   19110889 |   19110889
  Idle time (ns)                     |   17713335 |   17712237 |   17713939 |   17714418 |   17701603 |   17701597 |   17701218 |   17702507
  Idle time (%)                      |      92.7% |      92.7% |      92.7% |      92.7% |      92.6% |      92.6% |      92.6% |      92.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     110486 |     110547 |     110499 |     110468 |     110556 |     110454 |     110589 |     110450
  num incorrect                      |        771 |        772 |        784 |        741 |        836 |        781 |        763 |        750
  misprediction rate                 |      0.69% |      0.69% |      0.70% |      0.67% |      0.75% |      0.70% |      0.69% |      0.67%
  mpki                               |       0.55 |       0.55 |       0.56 |       0.53 |       0.60 |       0.56 |       0.54 |       0.53
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      19837 |      19894 |      19829 |      19807 |      19787 |      19846 |      19832 |      19822
    num cache misses                 |         24 |         25 |         24 |         25 |         23 |         24 |         24 |         24
    miss rate                        |      0.12% |      0.13% |      0.12% |      0.13% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     951630 |     951826 |     951663 |     951490 |     951614 |     951593 |     951806 |     951491
    num cache misses                 |       2393 |       2482 |       2423 |       2351 |       2442 |       2346 |       2461 |       2300
    miss rate                        |      0.25% |      0.26% |      0.25% |      0.25% |      0.26% |      0.25% |      0.26% |      0.24%
    mpki                             |       1.70 |       1.77 |       1.72 |       1.67 |       1.74 |       1.67 |       1.75 |       1.64
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2756 |       2872 |       2801 |       2711 |       3003 |       2894 |       2955 |       2840
    num cache misses                 |       1384 |       1470 |       1398 |       1339 |       1239 |       1233 |       1265 |       1223
    miss rate                        |     50.22% |     51.18% |     49.91% |     49.39% |     41.26% |     42.61% |     42.81% |     43.06%
    mpki                             |       0.99 |       1.05 |       1.00 |       0.95 |       0.88 |       0.88 |       0.90 |       0.87
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1565 |       1687 |       1600 |       1530 |       1602 |       1594 |       1582 |       1591
    num cache misses                 |         25 |         15 |         14 |         17 |         11 |         12 |         20 |         11
    miss rate                        |      1.60% |      0.89% |      0.88% |      1.11% |      0.69% |      0.75% |      1.26% |      0.69%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         81 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     171.06 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     117.63 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          6 |          6 |          7 |          6 |          6 |          8 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
