                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     947369 |     879127 |     953385 |     936762 |    1136322 |     996092 |    1127657 |    1014900 |    1075941 |     885878 |    1078318 |    1070150 |     687690 |     956053 |    1097285 |    1114145
  Cycles                             |    4712658 |    4712658 |    4712658 |    4712658 |    4712658 |    4712658 |    4712658 |    4712658 |    4712658 |    4712658 |    4712658 |    4712658 |    4712658 |    4712658 |    4712658 |    4712658
  IPC                                |       0.20 |       0.19 |       0.20 |       0.20 |       0.24 |       0.21 |       0.24 |       0.22 |       0.23 |       0.19 |       0.23 |       0.23 |       0.15 |       0.20 |       0.23 |       0.24
  Time (ns)                          |    1771676 |    1771676 |    1771676 |    1771676 |    1771676 |    1771676 |    1771676 |    1771676 |    1771676 |    1771676 |    1771676 |    1771676 |    1771676 |    1771676 |    1771676 |    1771676
  Idle time (ns)                     |     155160 |     395765 |     233149 |     318632 |      98834 |     260327 |     139927 |     254922 |      71821 |     475556 |     184073 |     200050 |     728128 |     225928 |      84005 |      81104
  Idle time (%)                      |       8.8% |      22.3% |      13.2% |      18.0% |       5.6% |      14.7% |       7.9% |      14.4% |       4.1% |      26.8% |      10.4% |      11.3% |      41.1% |      12.8% |       4.7% |       4.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     165603 |     151927 |     166773 |     163473 |     203360 |     175311 |     201608 |     179093 |     191244 |     153348 |     191766 |     190108 |     113688 |     167334 |     195549 |     198901
  num incorrect                      |        277 |        313 |        313 |        294 |        319 |        322 |        324 |        296 |        358 |        242 |        312 |        329 |        257 |        291 |        315 |        335
  misprediction rate                 |      0.17% |      0.21% |      0.19% |      0.18% |      0.16% |      0.18% |      0.16% |      0.17% |      0.19% |      0.16% |      0.16% |      0.17% |      0.23% |      0.17% |      0.16% |      0.17%
  mpki                               |       0.29 |       0.36 |       0.33 |       0.31 |       0.28 |       0.32 |       0.29 |       0.29 |       0.33 |       0.27 |       0.29 |       0.31 |       0.37 |       0.30 |       0.29 |       0.30
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      31020 |      31011 |      31016 |      31011 |      31011 |      31011 |      31023 |      31016 |      31010 |      31011 |      31011 |      31021 |      31021 |      31011 |      31021 |      31021
    num cache misses                 |         16 |         15 |         16 |         15 |         15 |         15 |         16 |         16 |         14 |         15 |         15 |         16 |         16 |         15 |         16 |         16
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.02 |       0.01 |       0.02 |       0.01 |       0.02 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     582649 |     541723 |     586272 |     576304 |     696040 |     611902 |     690815 |     623181 |     659809 |     545773 |     661237 |     656320 |     426844 |     587878 |     672601 |     682717
    num cache misses                 |      53932 |      44147 |      48751 |      46774 |      55786 |      48375 |      54605 |      49450 |      59489 |      43446 |      53776 |      52951 |      32180 |      47839 |      53311 |      53597
    miss rate                        |      9.26% |      8.15% |      8.32% |      8.12% |      8.01% |      7.91% |      7.90% |      7.94% |      9.02% |      7.96% |      8.13% |      8.07% |      7.54% |      8.14% |      7.93% |      7.85%
    mpki                             |      56.93 |      50.22 |      51.13 |      49.93 |      49.09 |      48.56 |      48.42 |      48.72 |      55.29 |      49.04 |      49.87 |      49.48 |      46.79 |      50.04 |      48.58 |      48.11
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      54183 |      44406 |      48993 |      46982 |      56057 |      48687 |      54919 |      49748 |      59789 |      43700 |      54082 |      53203 |      32388 |      48031 |      53549 |      53884
    num cache misses                 |      36395 |      28008 |      31671 |      29728 |      34954 |      31023 |      34024 |      31776 |      38240 |      26360 |      32718 |      31892 |      21173 |      32631 |      36015 |      35969
    miss rate                        |     67.17% |     63.07% |     64.64% |     63.28% |     62.35% |     63.72% |     61.95% |     63.87% |     63.96% |     60.32% |     60.50% |     59.94% |     65.37% |     67.94% |     67.26% |     66.75%
    mpki                             |      38.42 |      31.86 |      33.22 |      31.73 |      30.76 |      31.14 |      30.17 |      31.31 |      35.54 |      29.76 |      30.34 |      29.80 |      30.79 |      34.13 |      32.82 |      32.28
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      36600 |      28226 |      31862 |      29888 |      35182 |      31286 |      34292 |      32027 |      38495 |      26569 |      32962 |      32088 |      21351 |      32788 |      36212 |      36191
    num cache misses                 |      11934 |      11177 |      12278 |      11920 |      14457 |      12677 |      14307 |      12959 |      13175 |      10834 |      13588 |      13303 |       8317 |      12220 |      13959 |      13854
    miss rate                        |     32.61% |     39.60% |     38.53% |     39.88% |     41.09% |     40.52% |     41.72% |     40.46% |     34.23% |     40.78% |     41.22% |     41.46% |     38.95% |     37.27% |     38.55% |     38.28%
    mpki                             |      12.60 |      12.71 |      12.88 |      12.72 |      12.72 |      12.73 |      12.69 |      12.77 |      12.25 |      12.23 |      12.60 |      12.43 |      12.09 |      12.78 |      12.72 |      12.43
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         73 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     220.99 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     167.56 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          3 |          5 |          3 |          6 |          3 |          5 |          4 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       5775 |       5418 |       6267 |       5810 |       6453 |       6079 |       6466 |       6263 |       6015 |       4974 |       6282 |       6137 |       4148 |       6160 |       6814 |       6861
