                                     | Core 0     | Core 1    
  Instructions                       |     220399 |     219868
  Cycles                             |    1407963 |    1407963
  IPC                                |       0.16 |       0.16
  Time (ns)                          |     529310 |     529310
  Idle time (ns)                     |     392343 |     393568
  Idle time (%)                      |      74.1% |      74.4%
Branch predictor stats               |            |           
  num correct                        |      19635 |      19599
  num incorrect                      |        962 |        934
  misprediction rate                 |      4.67% |      4.55%
  mpki                               |       4.36 |       4.25
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      18305 |      18248
    num cache misses                 |         22 |         25
    miss rate                        |      0.12% |      0.14%
    mpki                             |       0.10 |       0.11
  Cache L1-D                         |            |           
    num cache accesses               |     135645 |     135442
    num cache misses                 |       1644 |       1601
    miss rate                        |      1.21% |      1.18%
    mpki                             |       7.46 |       7.28
  Cache L2                           |            |           
    num cache accesses               |       2345 |       2347
    num cache misses                 |         29 |         24
    miss rate                        |      1.24% |      1.02%
    mpki                             |       0.13 |       0.11
  Cache L3                           |            |           
    num cache accesses               |         31 |         27
    num cache misses                 |         29 |         24
    miss rate                        |     93.55% |     88.89%
    mpki                             |       0.13 |       0.11
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |     102.88 |        inf
  average dram queueing delay        |      49.45 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          7
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
