                                     | Core 0     | Core 1    
  Instructions                       |    1402631 |    1402443
  Cycles                             |   12959090 |   12959090
  IPC                                |       0.11 |       0.11
  Time (ns)                          |    4871839 |    4871839
  Idle time (ns)                     |    3440061 |    3452952
  Idle time (%)                      |      70.6% |      70.9%
Branch predictor stats               |            |           
  num correct                        |     110664 |     110714
  num incorrect                      |        445 |        439
  misprediction rate                 |      0.40% |      0.39%
  mpki                               |       0.32 |       0.31
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      19414 |      19349
    num cache misses                 |         24 |         26
    miss rate                        |      0.12% |      0.13%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |     950770 |     950612
    num cache misses                 |       2026 |       2160
    miss rate                        |      0.21% |      0.23%
    mpki                             |       1.44 |       1.54
  Cache L2                           |            |           
    num cache accesses               |       2339 |       2341
    num cache misses                 |       2050 |       2186
    miss rate                        |     87.64% |     93.38%
    mpki                             |       1.46 |       1.56
  Cache L3                           |            |           
    num cache accesses               |       2339 |       2341
    num cache misses                 |         33 |         15
    miss rate                        |      1.41% |      0.64%
    mpki                             |       0.02 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         46 |          0
  average dram access latency (ns)   |      97.59 |        inf
  average dram queueing delay        |      44.16 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          8 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
