                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     100871 |     100729 |     101231 |     100756 |     100561 |     101153 |     100745 |     100611
  Cycles                             |    1611881 |    1611881 |    1611881 |    1611881 |    1611881 |    1611881 |    1611881 |    1611881
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |     605970 |     605970 |     605970 |     605970 |     605970 |     605970 |     605970 |     605970
  Idle time (ns)                     |     538954 |     543333 |     541272 |     541236 |     540715 |     540127 |     543297 |     542566
  Idle time (%)                      |      88.9% |      89.7% |      89.3% |      89.3% |      89.2% |      89.1% |      89.7% |      89.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      10715 |      10814 |      10812 |      10802 |      10799 |      10765 |      10806 |      10749
  num incorrect                      |        740 |        649 |        716 |        659 |        681 |        727 |        679 |        719
  misprediction rate                 |      6.46% |      5.66% |      6.21% |      5.75% |      5.93% |      6.33% |      5.91% |      6.27%
  mpki                               |       7.34 |       6.44 |       7.07 |       6.54 |       6.77 |       7.19 |       6.74 |       7.15
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      17992 |      17978 |      18012 |      17984 |      17908 |      18021 |      17943 |      17945
    num cache misses                 |         24 |         25 |         25 |         25 |         24 |         23 |         24 |         24
    miss rate                        |      0.13% |      0.14% |      0.14% |      0.14% |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.24 |       0.25 |       0.25 |       0.25 |       0.24 |       0.23 |       0.24 |       0.24
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      53420 |      53343 |      53530 |      53374 |      53236 |      53527 |      53324 |      53282
    num cache misses                 |       2860 |       2556 |       2921 |       2664 |       2747 |       2626 |       2748 |       2797
    miss rate                        |      5.35% |      4.79% |      5.46% |      4.99% |      5.16% |      4.91% |      5.15% |      5.25%
    mpki                             |      28.35 |      25.38 |      28.85 |      26.44 |      27.32 |      25.96 |      27.28 |      27.80
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3683 |       3189 |       3715 |       3411 |       3450 |       3273 |       3530 |       3557
    num cache misses                 |       1319 |       1162 |       1150 |       1259 |       1255 |       1364 |       1204 |       1198
    miss rate                        |     35.81% |     36.44% |     30.96% |     36.91% |     36.38% |     41.67% |     34.11% |     33.68%
    mpki                             |      13.08 |      11.54 |      11.36 |      12.50 |      12.48 |      13.48 |      11.95 |      11.91
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1843 |       1569 |       1559 |       1720 |       1692 |       1788 |       1636 |       1570
    num cache misses                 |         23 |         16 |         15 |         24 |         11 |         18 |         13 |         13
    miss rate                        |      1.25% |      1.02% |      0.96% |      1.40% |      0.65% |      1.01% |      0.79% |      0.83%
    mpki                             |       0.23 |       0.16 |       0.15 |       0.24 |       0.11 |       0.18 |       0.13 |       0.13
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         82 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     210.83 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     157.40 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          6 |          6 |          7 |          7 |          8 |          6 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
