                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     117657 |      76257 |      94982 |     119877
  Cycles                             |     237870 |     237870 |     237870 |     237870
  IPC                                |       0.49 |       0.32 |       0.40 |       0.50
  Time (ns)                          |      89425 |      89425 |      89425 |      89425
  Idle time (ns)                     |      38865 |      61724 |      52226 |      37438
  Idle time (%)                      |      43.5% |      69.0% |      58.4% |      41.9%
Branch predictor stats               |            |            |            |           
  num correct                        |      12372 |       5512 |       8627 |      12750
  num incorrect                      |         78 |         39 |         46 |         75
  misprediction rate                 |      0.63% |      0.70% |      0.53% |      0.58%
  mpki                               |       0.66 |       0.51 |       0.48 |       0.63
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      13017 |      13020 |      13015 |      13009
    num cache misses                 |         16 |         16 |         16 |         14
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.11%
    mpki                             |       0.14 |       0.21 |       0.17 |       0.12
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      68360 |      47662 |      57032 |      69482
    num cache misses                 |       1130 |        713 |        757 |        928
    miss rate                        |      1.65% |      1.50% |      1.33% |      1.34%
    mpki                             |       9.60 |       9.35 |       7.97 |       7.74
  Cache L2                           |            |            |            |           
    num cache accesses               |       1398 |        891 |        969 |       1157
    num cache misses                 |       1146 |        729 |        773 |        943
    miss rate                        |     81.97% |     81.82% |     79.77% |     81.50%
    mpki                             |       9.74 |       9.56 |       8.14 |       7.87
  Cache L3                           |            |            |            |           
    num cache accesses               |       1398 |        891 |        969 |       1157
    num cache misses                 |       1146 |        729 |        773 |        943
    miss rate                        |     81.97% |     81.82% |     79.77% |     81.50%
    mpki                             |       9.74 |       9.56 |       8.14 |       7.87
DRAM summary                         |            |            |            |           
  num dram accesses                  |        250 |          0 |          0 |          0
  average dram access latency (ns)   |      83.69 |        inf |        inf |        inf
  average dram queueing delay        |      30.26 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |         48 |         36 |         48 |         55
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |        208 |        109 |        136 |        147
