                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      97581 |      97806 |      97634 |      97265
  Cycles                             |     677555 |     677555 |     677555 |     677555
  IPC                                |       0.14 |       0.14 |       0.14 |       0.14
  Time (ns)                          |     254720 |     254720 |     254720 |     254720
  Idle time (ns)                     |     229015 |     229304 |     228868 |     229981
  Idle time (%)                      |      89.9% |      90.0% |      89.9% |      90.3%
Branch predictor stats               |            |            |            |           
  num correct                        |      10780 |      10829 |      10779 |      10838
  num incorrect                      |        467 |        459 |        492 |        427
  misprediction rate                 |      4.15% |      4.07% |      4.37% |      3.79%
  mpki                               |       4.79 |       4.69 |       5.04 |       4.39
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      17597 |      17618 |      17599 |      17537
    num cache misses                 |         24 |         25 |         25 |         24
    miss rate                        |      0.14% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.25 |       0.26 |       0.26 |       0.25
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      52070 |      52166 |      52078 |      51900
    num cache misses                 |       1928 |       2096 |       1850 |       1522
    miss rate                        |      3.70% |      4.02% |      3.55% |      2.93%
    mpki                             |      19.76 |      21.43 |      18.95 |      15.65
  Cache L2                           |            |            |            |           
    num cache accesses               |       2513 |       2874 |       2537 |       2113
    num cache misses                 |         33 |         11 |         14 |         11
    miss rate                        |      1.31% |      0.38% |      0.55% |      0.52%
    mpki                             |       0.34 |       0.11 |       0.14 |       0.11
  Cache L3                           |            |            |            |           
    num cache accesses               |         35 |         14 |         17 |         14
    num cache misses                 |         33 |         11 |         14 |         11
    miss rate                        |     94.29% |     78.57% |     82.35% |     78.57%
    mpki                             |       0.34 |       0.11 |       0.14 |       0.11
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     120.36 |        inf |        inf |        inf
  average dram queueing delay        |      66.93 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          8 |          5 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
