                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     222569 |     222887 |     222408 |     222050
  Cycles                             |    2104646 |    2104646 |    2104646 |    2104646
  IPC                                |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |     791220 |     791220 |     791220 |     791220
  Idle time (ns)                     |     648598 |     648541 |     650198 |     651403
  Idle time (%)                      |      82.0% |      82.0% |      82.2% |      82.3%
Branch predictor stats               |            |            |            |           
  num correct                        |      19553 |      19678 |      19603 |      19591
  num incorrect                      |       1173 |       1113 |       1101 |       1095
  misprediction rate                 |      5.66% |      5.35% |      5.32% |      5.29%
  mpki                               |       5.27 |       4.99 |       4.95 |       4.93
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      18558 |      18577 |      18535 |      18485
    num cache misses                 |         24 |         24 |         25 |         25
    miss rate                        |      0.13% |      0.13% |      0.13% |      0.14%
    mpki                             |       0.11 |       0.11 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     136514 |     136591 |     136444 |     136285
    num cache misses                 |       2380 |       2271 |       2385 |       2393
    miss rate                        |      1.74% |      1.66% |      1.75% |      1.76%
    mpki                             |      10.69 |      10.19 |      10.72 |      10.78
  Cache L2                           |            |            |            |           
    num cache accesses               |       3168 |       3013 |       3110 |       3151
    num cache misses                 |         33 |          9 |         19 |         17
    miss rate                        |      1.04% |      0.30% |      0.61% |      0.54%
    mpki                             |       0.15 |       0.04 |       0.09 |       0.08
  Cache L3                           |            |            |            |           
    num cache accesses               |         35 |         12 |         22 |         20
    num cache misses                 |         33 |          9 |         19 |         17
    miss rate                        |     94.29% |     75.00% |     86.36% |     85.00%
    mpki                             |       0.15 |       0.04 |       0.09 |       0.08
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     113.47 |        inf |        inf |        inf
  average dram queueing delay        |      60.04 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          4 |          7 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
