                                     | Core 0     | Core 1    
  Instructions                       |    1399129 |    1400871
  Cycles                             |   12034169 |   12034169
  IPC                                |       0.12 |       0.12
  Time (ns)                          |    4524124 |    4524124
  Idle time (ns)                     |    3170292 |    3167778
  Idle time (%)                      |      70.1% |      70.0%
Branch predictor stats               |            |           
  num correct                        |     110747 |     110501
  num incorrect                      |        385 |        373
  misprediction rate                 |      0.35% |      0.34%
  mpki                               |       0.28 |       0.27
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      18860 |      19371
    num cache misses                 |         22 |         25
    miss rate                        |      0.12% |      0.13%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |     948976 |     950244
    num cache misses                 |       1809 |       1952
    miss rate                        |      0.19% |      0.21%
    mpki                             |       1.29 |       1.39
  Cache L2                           |            |           
    num cache accesses               |       2121 |       2123
    num cache misses                 |         35 |         17
    miss rate                        |      1.65% |      0.80%
    mpki                             |       0.03 |       0.01
  Cache L3                           |            |           
    num cache accesses               |         37 |         20
    num cache misses                 |         35 |         17
    miss rate                        |     94.59% |     85.00%
    mpki                             |       0.03 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |      95.84 |        inf
  average dram queueing delay        |      42.41 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          8 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
