                                     | Core 0     | Core 1    
  Instructions                       |     486240 |     369619
  Cycles                             |     404644 |     404644
  IPC                                |       1.20 |       0.91
  Time (ns)                          |     152122 |     152122
  Idle time (ns)                     |       2016 |      23415
  Idle time (%)                      |       1.3% |      15.4%
Branch predictor stats               |            |           
  num correct                        |      88316 |      59135
  num incorrect                      |        246 |        261
  misprediction rate                 |      0.28% |      0.44%
  mpki                               |       0.51 |       0.71
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      30016 |      30030
    num cache misses                 |         13 |         16
    miss rate                        |      0.04% |      0.05%
    mpki                             |       0.03 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |     275150 |     216828
    num cache misses                 |       2021 |       1597
    miss rate                        |      0.73% |      0.74%
    mpki                             |       4.16 |       4.32
  Cache L2                           |            |           
    num cache accesses               |       2477 |       2478
    num cache misses                 |         21 |          9
    miss rate                        |      0.85% |      0.36%
    mpki                             |       0.04 |       0.02
  Cache L3                           |            |           
    num cache accesses               |         23 |         12
    num cache misses                 |         21 |          9
    miss rate                        |     91.30% |     75.00%
    mpki                             |       0.04 |       0.02
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |     104.88 |        inf
  average dram queueing delay        |      51.45 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
