                                     | Core 0     | Core 1    
  Instructions                       |      97194 |      97199
  Cycles                             |     607913 |     607913
  IPC                                |       0.16 |       0.16
  Time (ns)                          |     228539 |     228539
  Idle time (ns)                     |     204433 |     204261
  Idle time (%)                      |      89.5% |      89.4%
Branch predictor stats               |            |           
  num correct                        |      10866 |      10828
  num incorrect                      |        380 |        412
  misprediction rate                 |      3.38% |      3.67%
  mpki                               |       3.91 |       4.24
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      17539 |      17538
    num cache misses                 |         24 |         25
    miss rate                        |      0.14% |      0.14%
    mpki                             |       0.25 |       0.26
  Cache L1-D                         |            |           
    num cache accesses               |      51900 |      51897
    num cache misses                 |       1647 |       1368
    miss rate                        |      3.17% |      2.64%
    mpki                             |      16.95 |      14.07
  Cache L2                           |            |           
    num cache accesses               |       2168 |       2168
    num cache misses                 |         35 |         12
    miss rate                        |      1.61% |      0.55%
    mpki                             |       0.36 |       0.12
  Cache L3                           |            |           
    num cache accesses               |         37 |         15
    num cache misses                 |         35 |         12
    miss rate                        |     94.59% |     80.00%
    mpki                             |       0.36 |       0.12
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |     116.84 |        inf
  average dram queueing delay        |      63.41 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          8 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
