                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   11673457 |    7714091 |   10631284 |   11925094 |   12210486 |    9791659 |    9254549 |   13110679 |   10224669 |   13441233 |   10860633 |   13411918 |   11139144 |   12405872 |   11661794 |   11323678
  Cycles                             |   58130766 |   58130766 |   58130766 |   58130766 |   58130766 |   58130766 |   58130766 |   58130766 |   58130766 |   58130766 |   58130766 |   58130766 |   58130766 |   58130766 |   58130766 |   58130766
  IPC                                |       0.20 |       0.13 |       0.18 |       0.21 |       0.21 |       0.17 |       0.16 |       0.23 |       0.18 |       0.23 |       0.19 |       0.23 |       0.19 |       0.21 |       0.20 |       0.19
  Time (ns)                          |   21853672 |   21853672 |   21853672 |   21853672 |   21853672 |   21853672 |   21853672 |   21853672 |   21853672 |   21853672 |   21853672 |   21853672 |   21853672 |   21853672 |   21853672 |   21853672
  Idle time (ns)                     |    2771129 |    8833659 |    4569863 |    2901201 |    1139300 |    4505169 |    5212280 |     977974 |    2716174 |     110179 |    2460769 |      71778 |    1374525 |     594746 |    1321367 |    1842325
  Idle time (%)                      |      12.7% |      40.4% |      20.9% |      13.3% |       5.2% |      20.6% |      23.9% |       4.5% |      12.4% |       0.5% |      11.3% |       0.3% |       6.3% |       2.7% |       6.0% |       8.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1822746 |    1162857 |    1649070 |    1864703 |    1912223 |    1509162 |    1419605 |    2062244 |    1581302 |    2117359 |    1687285 |    2112453 |    1733663 |    1944752 |    1820783 |    1764460
  num incorrect                      |        171 |        167 |        157 |        159 |        197 |        126 |        160 |        214 |        151 |        188 |        162 |        213 |        199 |        236 |        192 |        166
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.01 |       0.02 |       0.01 |       0.01 |       0.02 |       0.01 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     211019 |     211016 |     211011 |     211011 |     211020 |     211013 |     211022 |     211013 |     211020 |     211020 |     211020 |     211010 |     211024 |     211015 |     211015 |     211011
    num cache misses                 |         16 |         16 |         15 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         14 |         16 |         16 |         16 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    6093760 |    4114087 |    5572686 |    6219591 |    6362272 |    5152871 |    4884300 |    6812381 |    5369368 |    6977650 |    5687350 |    6963000 |    5826598 |    6459978 |    6087939 |    5918883
    num cache misses                 |     478269 |     301022 |     410052 |     450831 |     483961 |     391505 |     370620 |     457913 |     454381 |     483415 |     435138 |     475052 |     485717 |     479707 |     458013 |     442694
    miss rate                        |      7.85% |      7.32% |      7.36% |      7.25% |      7.61% |      7.60% |      7.59% |      6.72% |      8.46% |      6.93% |      7.65% |      6.82% |      8.34% |      7.43% |      7.52% |      7.48%
    mpki                             |      40.97 |      39.02 |      38.57 |      37.81 |      39.63 |      39.98 |      40.05 |      34.93 |      44.44 |      35.97 |      40.07 |      35.42 |      43.60 |      38.67 |      39.27 |      39.09
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     478309 |     301069 |     410101 |     450876 |     484008 |     391541 |     370666 |     457968 |     454424 |     483467 |     435182 |     475100 |     485767 |     479769 |     458062 |     442735
    num cache misses                 |     478285 |     301038 |     410067 |     450846 |     483977 |     391521 |     370636 |     457929 |     454397 |     483431 |     435154 |     475066 |     485733 |     479723 |     458029 |     442709
    miss rate                        |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99%
    mpki                             |      40.97 |      39.02 |      38.57 |      37.81 |      39.64 |      39.99 |      40.05 |      34.93 |      44.44 |      35.97 |      40.07 |      35.42 |      43.61 |      38.67 |      39.28 |      39.10
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     478309 |     301069 |     410101 |     450876 |     484008 |     391541 |     370666 |     457968 |     454424 |     483467 |     435182 |     475100 |     485767 |     479769 |     458062 |     442735
    num cache misses                 |     225598 |     141122 |     205107 |     230850 |     234163 |     199815 |     190271 |     242446 |     204898 |     244067 |     218368 |     240580 |     218724 |     244739 |     228311 |     222070
    miss rate                        |     47.17% |     46.87% |     50.01% |     51.20% |     48.38% |     51.03% |     51.33% |     52.94% |     45.09% |     50.48% |     50.18% |     50.64% |     45.03% |     51.01% |     49.84% |     50.16%
    mpki                             |      19.33 |      18.29 |      19.29 |      19.36 |      19.18 |      20.41 |      20.56 |      18.49 |      20.04 |      18.16 |      20.11 |      17.94 |      19.64 |      19.73 |      19.58 |      19.61
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
