                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     103310 |     103499 |     103712 |     104579 |     103864 |     103367 |     104483 |     104261 |     102392 |     104534 |     103310 |     104217 |     104030 |     103181 |     104210 |     104120
  Cycles                             |    4493852 |    4493852 |    4493852 |    4493852 |    4493852 |    4493852 |    4493852 |    4493852 |    4493852 |    4493852 |    4493852 |    4493852 |    4493852 |    4493852 |    4493852 |    4493852
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    1689418 |    1689418 |    1689418 |    1689418 |    1689418 |    1689418 |    1689418 |    1689418 |    1689418 |    1689418 |    1689418 |    1689418 |    1689418 |    1689418 |    1689418 |    1689418
  Idle time (ns)                     |    1601635 |    1583584 |    1581330 |    1583198 |    1584609 |    1579252 |    1578308 |    1584989 |    1592338 |    1575196 |    1590408 |    1575270 |    1574040 |    1582768 |    1576180 |    1579361
  Idle time (%)                      |      94.8% |      93.7% |      93.6% |      93.7% |      93.8% |      93.5% |      93.4% |      93.8% |      94.3% |      93.2% |      94.1% |      93.2% |      93.2% |      93.7% |      93.3% |      93.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      10952 |      10963 |      10845 |      10895 |      10890 |      10927 |      10886 |      10952 |      10900 |      10927 |      10905 |      10898 |      10888 |      10901 |      10916 |      10916
  num incorrect                      |        711 |        738 |        819 |        837 |        802 |        734 |        832 |        770 |        689 |        824 |        733 |        824 |        838 |        737 |        804 |        801
  misprediction rate                 |      6.10% |      6.31% |      7.02% |      7.13% |      6.86% |      6.29% |      7.10% |      6.57% |      5.95% |      7.01% |      6.30% |      7.03% |      7.15% |      6.33% |      6.86% |      6.84%
  mpki                               |       6.88 |       7.13 |       7.90 |       8.00 |       7.72 |       7.10 |       7.96 |       7.39 |       6.73 |       7.88 |       7.10 |       7.91 |       8.06 |       7.14 |       7.72 |       7.69
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      18242 |      18212 |      18310 |      18408 |      18307 |      18248 |      18395 |      18355 |      18133 |      18379 |      18272 |      18344 |      18304 |      18247 |      18335 |      18323
    num cache misses                 |         24 |         23 |         25 |         25 |         24 |         25 |         24 |         24 |         24 |         25 |         24 |         25 |         25 |         24 |         24 |         25
    miss rate                        |      0.13% |      0.13% |      0.14% |      0.14% |      0.13% |      0.14% |      0.13% |      0.13% |      0.13% |      0.14% |      0.13% |      0.14% |      0.14% |      0.13% |      0.13% |      0.14%
    mpki                             |       0.23 |       0.22 |       0.24 |       0.24 |       0.23 |       0.24 |       0.23 |       0.23 |       0.23 |       0.24 |       0.23 |       0.24 |       0.24 |       0.23 |       0.23 |       0.24
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      54334 |      54362 |      54533 |      54880 |      54582 |      54375 |      54852 |      54732 |      53963 |      54838 |      54371 |      54716 |      54610 |      54317 |      54697 |      54665
    num cache misses                 |       2493 |       2289 |       2527 |       2487 |       2399 |       2384 |       2495 |       2429 |       2150 |       2594 |       2263 |       2520 |       2454 |       2257 |       2477 |       2413
    miss rate                        |      4.59% |      4.21% |      4.63% |      4.53% |      4.40% |      4.38% |      4.55% |      4.44% |      3.98% |      4.73% |      4.16% |      4.61% |      4.49% |      4.16% |      4.53% |      4.41%
    mpki                             |      24.13 |      22.12 |      24.37 |      23.78 |      23.10 |      23.06 |      23.88 |      23.30 |      21.00 |      24.81 |      21.90 |      24.18 |      23.59 |      21.87 |      23.77 |      23.18
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       3537 |       3243 |       3698 |       3544 |       3430 |       3415 |       3537 |       3434 |       3098 |       3679 |       3246 |       3615 |       3508 |       3229 |       3542 |       3432
    num cache misses                 |       2520 |       2313 |       2554 |       2513 |       2426 |       2409 |       2524 |       2453 |       2174 |       2624 |       2287 |       2546 |       2480 |       2281 |       2503 |       2440
    miss rate                        |     71.25% |     71.32% |     69.06% |     70.91% |     70.73% |     70.54% |     71.36% |     71.43% |     70.17% |     71.32% |     70.46% |     70.43% |     70.70% |     70.64% |     70.67% |     71.10%
    mpki                             |      24.39 |      22.35 |      24.63 |      24.03 |      23.36 |      23.31 |      24.16 |      23.53 |      21.23 |      25.10 |      22.14 |      24.43 |      23.84 |      22.11 |      24.02 |      23.43
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       3537 |       3243 |       3698 |       3544 |       3430 |       3415 |       3537 |       3434 |       3098 |       3679 |       3246 |       3615 |       3508 |       3229 |       3542 |       3432
    num cache misses                 |       2520 |       2313 |       2554 |       2513 |       2426 |       2409 |       2524 |       2453 |       2174 |       2624 |       2287 |       2546 |       2480 |       2281 |       2503 |       2440
    miss rate                        |     71.25% |     71.32% |     69.06% |     70.91% |     70.73% |     70.54% |     71.36% |     71.43% |     70.17% |     71.32% |     70.46% |     70.43% |     70.70% |     70.64% |     70.67% |     71.10%
    mpki                             |      24.39 |      22.35 |      24.63 |      24.03 |      23.36 |      23.31 |      24.16 |      23.53 |      21.23 |      25.10 |      22.14 |      24.43 |      23.84 |      22.11 |      24.02 |      23.43
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       5617 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     129.75 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      76.32 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        203 |        197 |        243 |        210 |        209 |        177 |        220 |        195 |        195 |        222 |        205 |        253 |        225 |        223 |        219 |        222
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1217 |       1090 |       1282 |       1221 |       1179 |       1199 |       1225 |       1185 |       1074 |       1264 |       1125 |       1203 |       1197 |       1086 |       1205 |       1160
