                                     | Core 0     | Core 1    
  Instructions                       |    1401901 |    1402328
  Cycles                             |   12548300 |   12548300
  IPC                                |       0.11 |       0.11
  Time (ns)                          |    4717406 |    4717406
  Idle time (ns)                     |    3358851 |    3357919
  Idle time (%)                      |      71.2% |      71.2%
Branch predictor stats               |            |           
  num correct                        |     110687 |     110599
  num incorrect                      |        457 |        472
  misprediction rate                 |      0.41% |      0.42%
  mpki                               |       0.33 |       0.34
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      19268 |      19404
    num cache misses                 |         22 |         24
    miss rate                        |      0.11% |      0.12%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |     950350 |     950680
    num cache misses                 |       2019 |       2166
    miss rate                        |      0.21% |      0.23%
    mpki                             |       1.44 |       1.54
  Cache L2                           |            |           
    num cache accesses               |       2350 |       2351
    num cache misses                 |         35 |         12
    miss rate                        |      1.49% |      0.51%
    mpki                             |       0.02 |       0.01
  Cache L3                           |            |           
    num cache accesses               |         37 |         15
    num cache misses                 |         35 |         12
    miss rate                        |     94.59% |     80.00%
    mpki                             |       0.02 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         44 |          0
  average dram access latency (ns)   |      96.67 |        inf
  average dram queueing delay        |      43.24 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          9 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
