                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     430142 |     662552 |     670073 |     625445 |     673435 |     618209 |     680438 |     639074 |     616435 |     355175 |     628004 |     512270 |     655475 |     434849 |     529376 |     630474
  Cycles                             |     941298 |     941298 |     941298 |     941298 |     941298 |     941298 |     941298 |     941298 |     941298 |     941298 |     941298 |     941298 |     941298 |     941298 |     941298 |     941298
  IPC                                |       0.46 |       0.70 |       0.71 |       0.66 |       0.72 |       0.66 |       0.72 |       0.68 |       0.65 |       0.38 |       0.67 |       0.54 |       0.70 |       0.46 |       0.56 |       0.67
  Time (ns)                          |     353872 |     353872 |     353872 |     353872 |     353872 |     353872 |     353872 |     353872 |     353872 |     353872 |     353872 |     353872 |     353872 |     353872 |     353872 |     353872
  Idle time (ns)                     |      71770 |      85799 |      74906 |      99428 |      81209 |      98368 |      74462 |      91329 |     109417 |     216911 |      92687 |     151560 |      85273 |     182885 |     146001 |     101850
  Idle time (%)                      |      20.3% |      24.2% |      21.2% |      28.1% |      22.9% |      27.8% |      21.0% |      25.8% |      30.9% |      61.3% |      26.2% |      42.8% |      24.1% |      51.7% |      41.3% |      28.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      76758 |     123224 |     124717 |     115790 |     125399 |     114345 |     126801 |     118498 |     113988 |      61736 |     116308 |      93167 |     121796 |      77671 |      96594 |     116794
  num incorrect                      |         75 |        101 |        106 |         97 |         97 |        104 |         96 |        125 |         97 |         97 |        107 |         97 |         97 |        106 |         96 |        115
  misprediction rate                 |      0.10% |      0.08% |      0.08% |      0.08% |      0.08% |      0.09% |      0.08% |      0.11% |      0.09% |      0.16% |      0.09% |      0.10% |      0.08% |      0.14% |      0.10% |      0.10%
  mpki                               |       0.17 |       0.15 |       0.16 |       0.16 |       0.14 |       0.17 |       0.14 |       0.20 |       0.16 |       0.27 |       0.17 |       0.19 |       0.15 |       0.24 |       0.18 |       0.18
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13016 |      13012 |      13016 |      13016 |      13016 |      13021 |      13013 |      13016 |      13016 |      13016 |      13012 |      13016 |      13016 |      13021 |      13012 |      13012
    num cache misses                 |         14 |         15 |         16 |         16 |         16 |         16 |         15 |         16 |         16 |         16 |         15 |         16 |         16 |         16 |         15 |         15
    miss rate                        |      0.11% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.03 |       0.02 |       0.02 |       0.03 |       0.02 |       0.03 |       0.02 |       0.03 |       0.03 |       0.05 |       0.02 |       0.03 |       0.02 |       0.04 |       0.03 |       0.02
