                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1032659 |    1168121 |    1419008 |    1439080
  Cycles                             |     996589 |     996589 |     996589 |     996589
  IPC                                |       1.04 |       1.17 |       1.42 |       1.44
  Time (ns)                          |     374658 |     374658 |     374658 |     374658
  Idle time (ns)                     |     110007 |      21880 |      41600 |      36438
  Idle time (%)                      |      29.4% |       5.8% |      11.1% |       9.7%
Branch predictor stats               |            |            |            |           
  num correct                        |     224449 |     258319 |     321143 |     326122
  num incorrect                      |        459 |        449 |        368 |        402
  misprediction rate                 |      0.20% |      0.17% |      0.11% |      0.12%
  mpki                               |       0.44 |       0.38 |       0.26 |       0.28
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      32020 |      32023 |      32013 |      32010
    num cache misses                 |         16 |         18 |         16 |         15
    miss rate                        |      0.05% |      0.06% |      0.05% |      0.05%
    mpki                             |       0.02 |       0.02 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     547850 |     615573 |     741037 |     751071
    num cache misses                 |       3760 |       4004 |       4509 |       4528
    miss rate                        |      0.69% |      0.65% |      0.61% |      0.60%
    mpki                             |       3.64 |       3.43 |       3.18 |       3.15
  Cache L2                           |            |            |            |           
    num cache accesses               |       4892 |       4903 |       5396 |       5410
    num cache misses                 |         17 |         16 |          3 |          3
    miss rate                        |      0.35% |      0.33% |      0.06% |      0.06%
    mpki                             |       0.02 |       0.01 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         19 |         19 |          6 |          6
    num cache misses                 |         17 |         16 |          3 |          3
    miss rate                        |     89.47% |     84.21% |     50.00% |     50.00%
    mpki                             |       0.02 |       0.01 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     100.15 |        inf |        inf |        inf
  average dram queueing delay        |      46.72 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          5 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
