                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     100113 |      99678 |     100275 |     100097 |     100522 |      99388 |     100198 |      99936
  Cycles                             |    1548573 |    1548573 |    1548573 |    1548573 |    1548573 |    1548573 |    1548573 |    1548573
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |     582170 |     582170 |     582170 |     582170 |     582170 |     582170 |     582170 |     582170
  Idle time (ns)                     |     524113 |     527900 |     527063 |     525051 |     525178 |     528319 |     528781 |     525055
  Idle time (%)                      |      90.0% |      90.7% |      90.5% |      90.2% |      90.2% |      90.7% |      90.8% |      90.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      10819 |      10843 |      10831 |      10790 |      10850 |      10810 |      10852 |      10811
  num incorrect                      |        614 |        560 |        637 |        626 |        597 |        578 |        618 |        634
  misprediction rate                 |      5.37% |      4.91% |      5.55% |      5.48% |      5.22% |      5.08% |      5.39% |      5.54%
  mpki                               |       6.13 |       5.62 |       6.35 |       6.25 |       5.94 |       5.82 |       6.17 |       6.34
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      17877 |      17850 |      17905 |      17904 |      17952 |      17797 |      17874 |      17861
    num cache misses                 |         24 |         25 |         25 |         25 |         26 |         25 |         26 |         25
    miss rate                        |      0.13% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.15% |      0.14%
    mpki                             |       0.24 |       0.25 |       0.25 |       0.25 |       0.26 |       0.25 |       0.26 |       0.25
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      53072 |      52882 |      53107 |      53071 |      53260 |      52764 |      53066 |      52972
    num cache misses                 |       2253 |       2239 |       2135 |       2256 |       2411 |       2114 |       2284 |       2208
    miss rate                        |      4.25% |      4.23% |      4.02% |      4.25% |      4.53% |      4.01% |      4.30% |      4.17%
    mpki                             |      22.50 |      22.46 |      21.29 |      22.54 |      23.98 |      21.27 |      22.79 |      22.09
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2875 |       2931 |       2651 |       2932 |       3088 |       2732 |       2976 |       2762
    num cache misses                 |       1055 |        957 |        978 |        980 |       1154 |        966 |        934 |       1069
    miss rate                        |     36.70% |     32.65% |     36.89% |     33.42% |     37.37% |     35.36% |     31.38% |     38.70%
    mpki                             |      10.54 |       9.60 |       9.75 |       9.79 |      11.48 |       9.72 |       9.32 |      10.70
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1445 |       1322 |       1287 |       1414 |       1478 |       1318 |       1274 |       1404
    num cache misses                 |         23 |          6 |          7 |          6 |         14 |         18 |          6 |          6
    miss rate                        |      1.59% |      0.45% |      0.54% |      0.42% |      0.95% |      1.37% |      0.47% |      0.43%
    mpki                             |       0.23 |       0.06 |       0.07 |       0.06 |       0.14 |       0.18 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         83 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     153.02 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      99.59 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          6 |          6 |          6 |          8 |          7 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
