                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     229936 |     229169 |     231246 |     229947 |     230270 |     230762 |     230584 |     229368
  Cycles                             |    4832939 |    4832939 |    4832939 |    4832939 |    4832939 |    4832939 |    4832939 |    4832939
  IPC                                |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Time (ns)                          |    1816895 |    1816895 |    1816895 |    1816895 |    1816895 |    1816895 |    1816895 |    1816895
  Idle time (ns)                     |    1636117 |    1637929 |    1634507 |    1636608 |    1643575 |    1637207 |    1637025 |    1640022
  Idle time (%)                      |      90.1% |      90.1% |      90.0% |      90.1% |      90.5% |      90.1% |      90.1% |      90.3%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      19912 |      19826 |      19997 |      19833 |      19937 |      19901 |      19833 |      19869
  num incorrect                      |       1321 |       1320 |       1357 |       1381 |       1325 |       1399 |       1428 |       1306
  misprediction rate                 |      6.22% |      6.24% |      6.35% |      6.51% |      6.23% |      6.57% |      6.72% |      6.17%
  mpki                               |       5.75 |       5.76 |       5.87 |       6.01 |       5.75 |       6.06 |       6.19 |       5.69
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      19369 |      19316 |      19537 |      19386 |      19417 |      19481 |      19484 |      19317
    num cache misses                 |         24 |         25 |         25 |         25 |         26 |         25 |         25 |         25
    miss rate                        |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.10 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     139425 |     139162 |     139963 |     139475 |     139554 |     139781 |     139739 |     139223
    num cache misses                 |       3922 |       3871 |       3976 |       4018 |       3912 |       4018 |       4051 |       3914
    miss rate                        |      2.81% |      2.78% |      2.84% |      2.88% |      2.80% |      2.87% |      2.90% |      2.81%
    mpki                             |      17.06 |      16.89 |      17.19 |      17.47 |      16.99 |      17.41 |      17.57 |      17.06
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4857 |       4833 |       4972 |       5012 |       4815 |       4912 |       4963 |       4763
    num cache misses                 |       1750 |       1736 |       1695 |       1721 |       1760 |       1881 |       1781 |       1874
    miss rate                        |     36.03% |     35.92% |     34.09% |     34.34% |     36.55% |     38.29% |     35.89% |     39.34%
    mpki                             |       7.61 |       7.58 |       7.33 |       7.48 |       7.64 |       8.15 |       7.72 |       8.17
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2362 |       2337 |       2315 |       2357 |       2291 |       2391 |       2317 |       2373
    num cache misses                 |         34 |          6 |          7 |          6 |          9 |          6 |          6 |         10
    miss rate                        |      1.44% |      0.26% |      0.30% |      0.25% |      0.39% |      0.25% |      0.26% |      0.42%
    mpki                             |       0.15 |       0.03 |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.04
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         83 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     108.95 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      55.52 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          8 |          6 |          6 |          5 |          7 |          5 |          6 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
